grating_period_m, k_eff
1.0416631214702448e-9, 0
2.040317658296386e-9, 0
4.315554054498558e-9, -0.001980158801825661
7.979598964814219e-9, 0.00297038776909198
1.8579344571076192e-8, 0.008910963885471784
4.495349159330365e-8, 0.03069310954916478
1.220530002579892e-7, 0.08415849401838661
2.787760788012425e-7, 0.18217829907135888
4.773452185504418e-7, 0.2900989978443626
7.715832895113824e-7, 0.40198021364282205
0.000001154956472609737, 0.503960386154897
0.0000017965203344589563, 0.6118812344942537
0.0000025877980683295223, 0.7009900756617542
0.000004025287499123377, 0.791089120868795
0.000008847476005711102, 0.9128713051704627
0.000016999981732033257, 0.9673267191851466
0.000041929894856455176, 0.9910891108977048
0.00011384364787572409, 1
0.0003818179787835293, 1.0019802086572769
0.0009786248727007745, 1.0019802086572769
