Study Name	PremaTech_CVD_SiC_HeandSi
Sample Name	2025-10-31
Run Name	spot04
Operator	Keshav
Date	10/31/2025
Time	17:43
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	89
dt	50.000001E-12
time stamp (ms)	7:19:30 PM
	
Time	Amplitude
0.000000E+0	7.710271E-5
5.000000E-11	1.781668E-4
1.000000E-10	2.638143E-4
1.500000E-10	3.357582E-4
2.000000E-10	3.905726E-4
2.500000E-10	4.162668E-4
3.000000E-10	4.094150E-4
3.500000E-10	3.683042E-4
4.000000E-10	3.049251E-4
4.500000E-10	2.244164E-4
5.000000E-10	1.353430E-4
5.500000E-10	6.339911E-5
6.000000E-10	1.543651E-5
6.500000E-10	-2.224839E-5
7.000000E-10	-4.622969E-5
7.500000E-10	-4.965559E-5
8.000000E-10	-6.507214E-5
8.500000E-10	-8.734049E-5
9.000000E-10	-8.734049E-5
9.500000E-10	-7.021099E-5
1.000000E-9	-4.965559E-5
1.050000E-9	-3.405942E-6
1.100000E-9	5.654731E-5
1.150000E-9	1.010840E-4
1.200000E-9	1.302042E-4
1.250000E-9	1.404819E-4
1.300000E-9	1.216394E-4
1.350000E-9	8.052861E-5
1.400000E-9	3.256601E-5
1.450000E-9	-2.224839E-5
1.500000E-9	-7.877574E-5
1.550000E-9	-1.267383E-4
1.600000E-9	-1.935434E-4
1.650000E-9	-2.791909E-4
1.700000E-9	-3.442830E-4
1.750000E-9	-3.768291E-4
1.800000E-9	-3.939586E-4
1.850000E-9	-3.768291E-4
1.900000E-9	-3.185888E-4
1.950000E-9	-2.500707E-4
2.000000E-9	-2.038211E-4
2.050000E-9	-1.849786E-4
2.100000E-9	-1.969693E-4
2.150000E-9	-2.278024E-4
2.200000E-9	-2.586355E-4
2.250000E-9	-2.928945E-4
2.300000E-9	-3.305794E-4
2.350000E-9	-3.545607E-4
2.400000E-9	-3.631255E-4
2.450000E-9	-3.785420E-4
2.500000E-9	-3.682643E-4
2.550000E-9	-2.980334E-4
2.600000E-9	-1.815527E-4
2.650000E-9	-4.280379E-5
2.700000E-9	1.284912E-4
2.750000E-9	3.169157E-4
2.800000E-9	4.745071E-4
2.850000E-9	5.807100E-4
2.900000E-9	6.406633E-4
2.950000E-9	6.595057E-4
3.000000E-9	6.458021E-4
3.050000E-9	5.978395E-4
3.100000E-9	4.967755E-4
3.150000E-9	3.374711E-4
3.200000E-9	1.593243E-4
3.250000E-9	-1.025774E-5
3.300000E-9	-1.661362E-4
3.350000E-9	-2.894686E-4
3.400000E-9	-3.648384E-4
3.450000E-9	-4.042363E-4
3.500000E-9	-4.093751E-4
3.550000E-9	-3.562737E-4
3.600000E-9	-2.603484E-4
3.650000E-9	-1.592844E-4
3.700000E-9	-5.650739E-5
3.750000E-9	3.770486E-5
3.800000E-9	9.594516E-5
3.850000E-9	1.010840E-4
3.900000E-9	6.339911E-5
3.950000E-9	-1.882249E-5
4.000000E-9	-1.198865E-4
4.050000E-9	-2.260894E-4
4.100000E-9	-3.254406E-4
4.150000E-9	-3.973845E-4
4.200000E-9	-4.179399E-4
4.250000E-9	-4.059492E-4
4.300000E-9	-3.699773E-4
4.350000E-9	-3.100240E-4
4.400000E-9	-2.295153E-4
4.450000E-9	-1.370160E-4
4.500000E-9	-5.650739E-5
4.550000E-9	-1.197069E-5
4.600000E-9	-2.224839E-5
4.650000E-9	-7.021099E-5
4.700000E-9	-1.575714E-4
4.750000E-9	-2.706262E-4
4.800000E-9	-3.682643E-4
4.850000E-9	-4.487730E-4
4.900000E-9	-5.292816E-4
4.950000E-9	-5.892349E-4
5.000000E-9	-6.012255E-4
5.050000E-9	-5.703924E-4
5.100000E-9	-5.018744E-4
5.150000E-9	-3.785420E-4
5.200000E-9	-2.415060E-4
5.250000E-9	-1.370160E-4
5.300000E-9	-3.252609E-5
5.350000E-9	9.251926E-5
5.400000E-9	1.918704E-4
5.450000E-9	2.552495E-4
5.500000E-9	3.100639E-4
5.550000E-9	3.528877E-4
5.600000E-9	3.546006E-4
5.650000E-9	3.049251E-4
5.700000E-9	2.038610E-4
5.750000E-9	5.140846E-5
5.800000E-9	-1.335901E-4
5.850000E-9	-3.185888E-4
5.900000E-9	-4.950226E-4
5.950000E-9	-6.354845E-4
6.000000E-9	-7.228450E-4
6.050000E-9	-7.862241E-4
6.100000E-9	-8.376126E-4
6.150000E-9	-8.290479E-4
6.200000E-9	-7.399745E-4
6.250000E-9	-6.132162E-4
6.300000E-9	-4.761802E-4
6.350000E-9	-3.545607E-4
6.400000E-9	-2.654873E-4
6.450000E-9	-2.192376E-4
6.500000E-9	-2.021081E-4
6.550000E-9	-2.072470E-4
6.600000E-9	-2.346542E-4
6.650000E-9	-2.723391E-4
6.700000E-9	-3.100240E-4
6.750000E-9	-3.442830E-4
6.800000E-9	-3.511348E-4
6.850000E-9	-3.305794E-4
6.900000E-9	-2.843298E-4
6.950000E-9	-2.209506E-4
7.000000E-9	-1.507196E-4
7.050000E-9	-9.247934E-5
7.100000E-9	-4.794264E-5
7.150000E-9	-8.544792E-6
7.200000E-9	2.571421E-5
7.250000E-9	5.483436E-5
7.300000E-9	8.224156E-5
7.350000E-9	1.199265E-4
7.400000E-9	1.730279E-4
7.450000E-9	2.346941E-4
7.500000E-9	2.980733E-4
7.550000E-9	3.683042E-4
7.600000E-9	4.196927E-4
7.650000E-9	4.214057E-4
7.700000E-9	3.700172E-4
7.750000E-9	2.877956E-4
7.800000E-9	1.593243E-4
7.850000E-9	-5.118892E-6
7.900000E-9	-1.832657E-4
7.950000E-9	-3.545607E-4
8.000000E-9	-5.292816E-4
8.050000E-9	-6.937248E-4
8.100000E-9	-8.136313E-4
8.150000E-9	-8.752975E-4
8.200000E-9	-8.958529E-4
8.250000E-9	-8.752975E-4
8.300000E-9	-8.050666E-4
8.350000E-9	-7.074284E-4
8.400000E-9	-6.029385E-4
8.450000E-9	-4.744672E-4
8.500000E-9	-3.168758E-4
8.550000E-9	-1.832657E-4
8.600000E-9	-8.048869E-5
8.650000E-9	1.201061E-5
8.700000E-9	8.052861E-5
8.750000E-9	9.594516E-5
8.800000E-9	7.025091E-5
8.850000E-9	4.969551E-5
8.900000E-9	4.455666E-5
8.950000E-9	4.284371E-5
9.000000E-9	3.256601E-5
9.050000E-9	3.085306E-5
9.100000E-9	4.455666E-5
9.150000E-9	5.312141E-5
9.200000E-9	3.941781E-5
9.250000E-9	2.571421E-5
9.300000E-9	4.455666E-5
9.350000E-9	7.710271E-5
9.400000E-9	7.710271E-5
9.450000E-9	5.826026E-5
9.500000E-9	3.941781E-5
9.550000E-9	3.445858E-6
9.600000E-9	-7.021099E-5
9.650000E-9	-1.661362E-4
9.700000E-9	-2.826168E-4
9.750000E-9	-4.213658E-4
9.800000E-9	-5.738183E-4
