Study Name	PremaTech_CVD_SiC_HeandSi
Sample Name	2025-10-31
Run Name	spot04
Operator	Keshav
Date	10/31/2025
Time	17:43
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	91
dt	50.000001E-12
time stamp (ms)	7:21:40 PM
	
Time	Amplitude
0.000000E+0	-1.267383E-4
5.000000E-11	1.995795E-8
1.000000E-10	1.216394E-4
1.500000E-10	2.278423E-4
2.000000E-10	3.014992E-4
2.500000E-10	3.271934E-4
3.000000E-10	3.152028E-4
3.500000E-10	2.792308E-4
4.000000E-10	2.175646E-4
4.500000E-10	1.147876E-4
5.000000E-10	-1.368364E-5
5.500000E-10	-1.370160E-4
6.000000E-10	-2.312283E-4
6.500000E-10	-2.963204E-4
7.000000E-10	-3.185888E-4
7.500000E-10	-2.980334E-4
8.000000E-10	-2.466448E-4
8.500000E-10	-1.764139E-4
9.000000E-10	-9.419229E-5
9.500000E-10	-1.197069E-5
1.000000E-9	5.654731E-5
1.050000E-9	1.182135E-4
1.100000E-9	1.970092E-4
1.150000E-9	2.758049E-4
1.200000E-9	3.340452E-4
1.250000E-9	3.597395E-4
1.300000E-9	3.614524E-4
1.350000E-9	3.563136E-4
1.400000E-9	3.357582E-4
1.450000E-9	2.877956E-4
1.500000E-9	2.244164E-4
1.550000E-9	1.747409E-4
1.600000E-9	1.507596E-4
1.650000E-9	1.302042E-4
1.700000E-9	9.594516E-5
1.750000E-9	7.367681E-5
1.800000E-9	5.997321E-5
1.850000E-9	5.140846E-5
1.900000E-9	5.140846E-5
1.950000E-9	6.511206E-5
2.000000E-9	8.566746E-5
2.050000E-9	9.765811E-5
2.100000E-9	7.881566E-5
2.150000E-9	1.995795E-8
2.200000E-9	-1.147477E-4
2.250000E-9	-2.226635E-4
2.300000E-9	-3.083111E-4
2.350000E-9	-3.768291E-4
2.400000E-9	-4.247917E-4
2.450000E-9	-4.436341E-4
2.500000E-9	-4.247917E-4
2.550000E-9	-3.528478E-4
2.600000E-9	-2.397930E-4
2.650000E-9	-1.164606E-4
2.700000E-9	2.228831E-5
2.750000E-9	1.696020E-4
2.800000E-9	2.997862E-4
2.850000E-9	4.008503E-4
2.900000E-9	4.796460E-4
2.950000E-9	5.190438E-4
3.000000E-9	5.190438E-4
3.050000E-9	5.104791E-4
3.100000E-9	4.916366E-4
3.150000E-9	4.333963E-4
3.200000E-9	3.477488E-4
3.250000E-9	2.518236E-4
3.300000E-9	1.541855E-4
3.350000E-9	4.798256E-5
3.400000E-9	-6.164624E-5
3.450000E-9	-1.609973E-4
3.500000E-9	-2.517837E-4
3.550000E-9	-3.203017E-4
3.600000E-9	-3.614125E-4
3.650000E-9	-3.734032E-4
3.700000E-9	-3.802550E-4
3.750000E-9	-3.716902E-4
3.800000E-9	-3.185888E-4
3.850000E-9	-2.346542E-4
3.900000E-9	-1.472937E-4
3.950000E-9	-3.423904E-5
4.000000E-9	1.113617E-4
4.050000E-9	2.346941E-4
4.100000E-9	2.895085E-4
4.150000E-9	2.929344E-4
4.200000E-9	2.775179E-4
4.250000E-9	2.312682E-4
4.300000E-9	1.284912E-4
4.350000E-9	-1.368364E-5
4.400000E-9	-1.592844E-4
4.450000E-9	-2.928945E-4
4.500000E-9	-4.008104E-4
4.550000E-9	-4.778931E-4
4.600000E-9	-5.190039E-4
4.650000E-9	-5.172910E-4
4.700000E-9	-4.590507E-4
4.750000E-9	-3.545607E-4
4.800000E-9	-2.226635E-4
4.850000E-9	-7.706279E-5
4.900000E-9	7.710271E-5
4.950000E-9	2.124258E-4
5.000000E-9	3.220546E-4
5.050000E-9	4.128409E-4
5.100000E-9	4.710812E-4
5.150000E-9	4.899237E-4
5.200000E-9	4.882107E-4
5.250000E-9	4.762201E-4
5.300000E-9	4.505258E-4
5.350000E-9	4.196927E-4
5.400000E-9	3.957114E-4
5.450000E-9	3.802949E-4
5.500000E-9	3.563136E-4
5.550000E-9	3.391841E-4
5.600000E-9	3.306193E-4
5.650000E-9	3.152028E-4
5.700000E-9	2.792308E-4
5.750000E-9	2.381200E-4
5.800000E-9	1.987222E-4
5.850000E-9	1.387689E-4
5.900000E-9	3.256601E-5
5.950000E-9	-9.247934E-5
6.000000E-9	-1.986822E-4
6.050000E-9	-2.637744E-4
6.100000E-9	-3.014593E-4
6.150000E-9	-2.963204E-4
6.200000E-9	-2.449319E-4
6.250000E-9	-1.661362E-4
6.300000E-9	-7.021099E-5
6.350000E-9	3.599191E-5
6.400000E-9	1.456207E-4
6.450000E-9	2.415459E-4
6.500000E-9	3.117769E-4
6.550000E-9	3.511747E-4
6.600000E-9	3.511747E-4
6.650000E-9	3.117769E-4
6.700000E-9	2.244164E-4
6.750000E-9	9.765811E-5
6.800000E-9	-5.308149E-5
6.850000E-9	-1.935434E-4
6.900000E-9	-3.151629E-4
6.950000E-9	-4.179399E-4
7.000000E-9	-4.881708E-4
7.050000E-9	-5.104392E-4
7.100000E-9	-5.001615E-4
7.150000E-9	-4.830320E-4
7.200000E-9	-4.693284E-4
7.250000E-9	-4.436341E-4
7.300000E-9	-4.076622E-4
7.350000E-9	-3.631255E-4
7.400000E-9	-3.203017E-4
7.450000E-9	-2.894686E-4
7.500000E-9	-2.860427E-4
7.550000E-9	-3.100240E-4
7.600000E-9	-3.425701E-4
7.650000E-9	-3.785420E-4
7.700000E-9	-4.230787E-4
7.750000E-9	-4.607636E-4
7.800000E-9	-4.778931E-4
7.850000E-9	-4.744672E-4
7.900000E-9	-4.607636E-4
7.950000E-9	-4.179399E-4
8.000000E-9	-3.528478E-4
8.050000E-9	-3.014593E-4
8.100000E-9	-2.723391E-4
8.150000E-9	-2.552096E-4
8.200000E-9	-2.603484E-4
8.250000E-9	-2.843298E-4
8.300000E-9	-3.203017E-4
8.350000E-9	-4.059492E-4
8.400000E-9	-5.258557E-4
8.450000E-9	-6.337716E-4
8.500000E-9	-6.954378E-4
8.550000E-9	-7.262709E-4
8.600000E-9	-7.314097E-4
8.650000E-9	-7.159932E-4
8.700000E-9	-6.902989E-4
8.750000E-9	-6.611788E-4
8.800000E-9	-6.286327E-4
8.850000E-9	-5.909478E-4
8.900000E-9	-5.635406E-4
8.950000E-9	-5.429852E-4
9.000000E-9	-5.207169E-4
9.050000E-9	-4.881708E-4
9.100000E-9	-4.419212E-4
9.150000E-9	-3.939586E-4
9.200000E-9	-3.511348E-4
9.250000E-9	-2.928945E-4
9.300000E-9	-2.106729E-4
9.350000E-9	-1.233124E-4
9.400000E-9	-5.136854E-5
9.450000E-9	1.995795E-8
9.500000E-9	2.057536E-5
9.550000E-9	3.445858E-6
9.600000E-9	-4.622969E-5
9.650000E-9	-1.096088E-4
9.700000E-9	-1.969693E-4
9.750000E-9	-3.117370E-4
9.800000E-9	-4.367823E-4
