============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Si (14)   Ion Mass= 028.0000
Energy  = 6500000.E-03 keV
Ion Angle to Surface = 45.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=300000.E-01 A
  Layer # 1 - Density =0002.7000 g/cm3
  Layer # 1 -  50 % of Si
  Layer # 1 -  50 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000439   2.0044E+04  2.0357E+04 -6.3758E+02
0000440   2.2374E+04  1.7011E+04 -7.9769E+02
0000441   1.9653E+04  1.9895E+04 -4.0120E+02
0000442   1.9390E+04  1.9703E+04 -3.9414E+03
0000443   2.0368E+04  1.8683E+04  4.3161E+03
0000444   1.8171E+04  2.0892E+04  2.7908E+02
0000445   2.1342E+04  1.9158E+04 -5.2667E+02
0000446   1.9920E+04  1.9109E+04  2.6705E+03
0000447   1.7602E+04  2.2610E+04  2.5869E+02
0000448   1.7747E+04  2.3211E+04  2.7569E+02
0000449   2.1727E+04  2.0521E+04 -1.2712E+03
0000450   2.4622E+04  1.6320E+04  4.3918E+02
0000451   2.0207E+04  2.1705E+04 -3.9589E+02
0000452   1.7922E+04  2.1999E+04 -1.2674E+03
0000453   2.0422E+04  1.9112E+04 -3.4765E+02
0000454   1.8594E+04  2.0181E+04  3.9732E+02
0000455   2.2170E+04  1.9328E+04 -7.4338E+02
0000456   1.7107E+04  2.1472E+04 -2.2342E+03
0000457   1.9365E+04  2.1874E+04  8.5852E+02
0000458   1.8450E+04  1.9539E+04  7.0379E+01
0000459   1.9138E+04  2.1950E+04 -1.3425E+03
0000460   1.9700E+04  1.8656E+04 -5.0233E+03
0000461   2.1641E+04  1.8409E+04 -1.7147E+03
0000462   1.9266E+04  1.9746E+04  8.8818E+02
0000463   2.1599E+04  1.9247E+04 -1.2760E+03
0000464   2.0626E+04  1.9199E+04  1.6934E+02
0000465   1.8680E+04  2.3301E+04 -2.1554E+03
0000466   1.8324E+04  2.2171E+04 -1.7970E+02
0000467   2.1305E+04  1.8113E+04 -1.1341E+03
0000468   2.1890E+04  1.8012E+04  1.6730E+03
