Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-05-14
Run Name	Heating_trial_165C
Operator	Keshav
Date	5/14/2025
Time	19:15
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	7:16:13 PM
	
Time	Amplitude
0.000000E+0	7.879694E-4
5.000000E-11	7.348680E-4
1.000000E-10	6.697759E-4
1.500000E-10	6.132485E-4
2.000000E-10	5.807025E-4
2.500000E-10	5.789895E-4
3.000000E-10	6.201003E-4
3.500000E-10	6.971831E-4
4.000000E-10	8.016730E-4
4.500000E-10	9.164407E-4
5.000000E-10	1.029495E-3
5.500000E-10	1.132272E-3
6.000000E-10	1.207642E-3
6.500000E-10	1.240188E-3
7.000000E-10	1.233336E-3
7.500000E-10	1.180235E-3
8.000000E-10	1.092875E-3
8.500000E-10	1.005514E-3
9.000000E-10	9.438479E-4
9.500000E-10	9.130148E-4
1.000000E-9	9.113018E-4
1.050000E-9	9.232925E-4
1.100000E-9	9.524126E-4
1.150000E-9	1.026069E-3
1.200000E-9	1.132272E-3
1.250000E-9	1.216207E-3
1.300000E-9	1.262457E-3
1.350000E-9	1.298429E-3
1.400000E-9	1.330975E-3
1.450000E-9	1.344678E-3
1.500000E-9	1.325836E-3
1.550000E-9	1.276160E-3
1.600000E-9	1.202503E-3
1.650000E-9	1.139124E-3
1.700000E-9	1.087736E-3
1.750000E-9	1.034634E-3
1.800000E-9	9.900975E-4
1.850000E-9	9.763939E-4
1.900000E-9	9.866716E-4
1.950000E-9	1.007227E-3
2.000000E-9	1.036347E-3
2.050000E-9	1.080884E-3
2.100000E-9	1.151115E-3
2.150000E-9	1.226485E-3
2.200000E-9	1.283012E-3
2.250000E-9	1.330975E-3
2.300000E-9	1.380650E-3
2.350000E-9	1.409770E-3
2.400000E-9	1.401206E-3
2.450000E-9	1.366947E-3
2.500000E-9	1.318984E-3
2.550000E-9	1.240188E-3
2.600000E-9	1.137411E-3
2.650000E-9	1.046625E-3
2.700000E-9	9.815328E-4
2.750000E-9	9.301443E-4
2.800000E-9	8.958853E-4
2.850000E-9	8.890335E-4
2.900000E-9	9.044500E-4
2.950000E-9	9.335702E-4
