Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-05-14
Run Name	Heating_trial_330C
Operator	Keshav
Date	5/14/2025
Time	21:46
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	9:47:15 PM
	
Time	Amplitude
0.000000E+0	8.770428E-4
5.000000E-11	9.130148E-4
1.000000E-10	9.095889E-4
1.500000E-10	8.719040E-4
2.000000E-10	8.136637E-4
2.500000E-10	7.365809E-4
3.000000E-10	6.355169E-4
3.500000E-10	5.104715E-4
4.000000E-10	3.871391E-4
4.500000E-10	2.740844E-4
5.000000E-10	1.644556E-4
5.500000E-10	8.052106E-5
6.000000E-10	4.797501E-5
6.500000E-10	4.626206E-5
7.000000E-10	5.311386E-5
7.500000E-10	6.510451E-5
8.000000E-10	9.936351E-5
8.500000E-10	1.593168E-4
9.000000E-10	2.535290E-4
9.500000E-10	3.614449E-4
1.000000E-9	4.556571E-4
1.050000E-9	5.361658E-4
1.100000E-9	6.183874E-4
1.150000E-9	6.937572E-4
1.200000E-9	7.571363E-4
1.250000E-9	8.290802E-4
1.300000E-9	8.975982E-4
1.350000E-9	9.404220E-4
1.400000E-9	9.592644E-4
1.450000E-9	9.695421E-4
1.500000E-9	9.746810E-4
1.550000E-9	9.900975E-4
1.600000E-9	1.002088E-3
1.650000E-9	9.935234E-4
1.700000E-9	9.712551E-4
1.750000E-9	9.489867E-4
1.800000E-9	9.113018E-4
1.850000E-9	8.650522E-4
1.900000E-9	8.256543E-4
1.950000E-9	8.016730E-4
2.000000E-9	7.742658E-4
2.050000E-9	7.245903E-4
2.100000E-9	6.526464E-4
2.150000E-9	5.875543E-4
2.200000E-9	5.464435E-4
2.250000E-9	5.361658E-4
2.300000E-9	5.498694E-4
2.350000E-9	5.944061E-4
2.400000E-9	6.869054E-4
2.450000E-9	8.102378E-4
2.500000E-9	9.472738E-4
2.550000E-9	1.087736E-3
2.600000E-9	1.207642E-3
2.650000E-9	1.291577E-3
2.700000E-9	1.349817E-3
2.750000E-9	1.380650E-3
2.800000E-9	1.361808E-3
2.850000E-9	1.295003E-3
