Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-05-14
Run Name	Heating_trial_165C
Operator	Keshav
Date	5/14/2025
Time	19:15
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	8
dt	50.000001E-12
time stamp (ms)	7:23:50 PM
	
Time	Amplitude
8.900000E-9	-1.712009E-5
8.950000E-9	-7.878630E-5
9.000000E-9	-1.267489E-4
9.050000E-9	-1.712856E-4
9.100000E-9	-2.209611E-4
9.150000E-9	-2.586461E-4
9.200000E-9	-2.757756E-4
9.250000E-9	-2.860533E-4
9.300000E-9	-2.997569E-4
9.350000E-9	-3.066087E-4
9.400000E-9	-2.946180E-4
9.450000E-9	-2.672108E-4
9.500000E-9	-2.278130E-4
9.550000E-9	-1.901280E-4
9.600000E-9	-1.712856E-4
9.650000E-9	-1.764244E-4
9.700000E-9	-1.969798E-4
9.750000E-9	-2.243870E-4
9.800000E-9	-2.569331E-4
9.850000E-9	-2.877662E-4
9.900000E-9	-3.048957E-4
9.950000E-9	-2.997569E-4
1.000000E-8	-2.723497E-4
1.005000E-8	-2.346648E-4
1.010000E-8	-1.918410E-4
1.015000E-8	-1.455913E-4
1.020000E-8	-1.027676E-4
1.025000E-8	-6.508270E-5
1.030000E-8	-3.596254E-5
1.035000E-8	-1.540714E-5
1.040000E-8	-1.369419E-5
1.045000E-8	-2.911074E-5
1.050000E-8	-6.336975E-5
1.055000E-8	-1.113323E-4
1.060000E-8	-1.575820E-4
1.065000E-8	-1.815633E-4
1.070000E-8	-1.764244E-4
1.075000E-8	-1.541561E-4
1.080000E-8	-1.233230E-4
1.085000E-8	-7.536040E-5
1.090000E-8	-1.198124E-5
1.095000E-8	5.996266E-5
1.100000E-8	1.284807E-4
1.105000E-8	1.867210E-4
1.110000E-8	2.261188E-4
1.115000E-8	2.535260E-4
1.120000E-8	2.706555E-4
1.125000E-8	2.723685E-4
1.130000E-8	2.449613E-4
1.135000E-8	2.004246E-4
1.140000E-8	1.490361E-4
1.145000E-8	9.764756E-5
1.150000E-8	5.139791E-5
1.155000E-8	1.028711E-5
1.160000E-8	-3.253664E-5
1.165000E-8	-7.536040E-5
