Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-05-14
Run Name	Heating_trial_RT
Operator	Keshav
Date	5/14/2025
Time	17:46
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	24
dt	50.000001E-12
time stamp (ms)	6:11:30 PM
	
Time	Amplitude
0.000000E+0	5.584341E-4
5.000000E-11	5.481564E-4
1.000000E-10	5.087586E-4
1.500000E-10	4.573701E-4
2.000000E-10	4.145463E-4
2.500000E-10	3.751485E-4
3.000000E-10	3.288988E-4
3.500000E-10	2.672326E-4
4.000000E-10	2.089923E-4
4.500000E-10	1.404743E-4
5.000000E-10	7.538221E-5
5.500000E-10	1.542896E-5
6.000000E-10	-5.308905E-5
6.500000E-10	-1.301718E-4
7.000000E-10	-1.849862E-4
7.500000E-10	-2.021157E-4
8.000000E-10	-1.969769E-4
8.500000E-10	-1.729956E-4
9.000000E-10	-1.233200E-4
9.500000E-10	-3.938545E-5
1.000000E-9	7.880811E-5
1.050000E-9	2.141312E-4
1.100000E-9	3.426024E-4
1.150000E-9	4.642219E-4
1.200000E-9	5.635730E-4
1.250000E-9	6.012579E-4
1.300000E-9	5.807025E-4
1.350000E-9	5.464435E-4
1.400000E-9	5.019068E-4
1.450000E-9	4.111204E-4
1.500000E-9	2.963528E-4
1.550000E-9	2.141312E-4
1.600000E-9	1.593168E-4
1.650000E-9	1.079283E-4
1.700000E-9	8.565991E-5
1.750000E-9	9.936351E-5
1.800000E-9	1.336225E-4
1.850000E-9	1.867240E-4
1.900000E-9	2.535290E-4
1.950000E-9	3.357506E-4
2.000000E-9	4.196852E-4
2.050000E-9	4.950550E-4
2.100000E-9	5.293140E-4
2.150000E-9	5.224622E-4
2.200000E-9	5.019068E-4
2.250000E-9	4.659348E-4
2.300000E-9	3.802873E-4
2.350000E-9	2.757974E-4
2.400000E-9	2.055664E-4
2.450000E-9	1.764463E-4
2.500000E-9	1.695945E-4
2.550000E-9	1.815851E-4
2.600000E-9	2.415384E-4
2.650000E-9	3.648708E-4
2.700000E-9	4.984809E-4
2.750000E-9	6.098226E-4
2.800000E-9	7.125996E-4
2.850000E-9	8.068119E-4
2.900000E-9	8.496356E-4
2.950000E-9	8.393579E-4
3.000000E-9	8.068119E-4
3.050000E-9	7.434327E-4
3.100000E-9	6.338039E-4
3.150000E-9	5.070456E-4
3.200000E-9	3.939909E-4
3.250000E-9	2.929269E-4
3.300000E-9	2.175571E-4
3.350000E-9	1.952887E-4
3.400000E-9	2.244089E-4
3.450000E-9	2.860751E-4
3.500000E-9	3.614449E-4
3.550000E-9	4.282499E-4
3.600000E-9	4.796384E-4
3.650000E-9	5.121845E-4
3.700000E-9	5.087586E-4
3.750000E-9	4.607960E-4
3.800000E-9	3.991298E-4
3.850000E-9	3.340377E-4
3.900000E-9	2.569549E-4
3.950000E-9	1.747333E-4
4.000000E-9	1.199189E-4
4.050000E-9	8.737286E-5
4.100000E-9	8.223401E-5
