Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-04-13
Run Name	Heating_trial_330C
Operator	Keshav
Date	5/14/2025
Time	21:18
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	6
dt	50.000001E-12
time stamp (ms)	9:24:19 PM
	
Time	Amplitude
0.000000E+0	-1.192204E-3
5.000000E-11	-1.164797E-3
1.000000E-10	-1.116834E-3
1.500000E-10	-1.038038E-3
2.000000E-10	-9.575297E-4
2.500000E-10	-8.753081E-4
3.000000E-10	-7.656793E-4
3.500000E-10	-6.372080E-4
4.000000E-10	-5.344310E-4
4.500000E-10	-4.659130E-4
5.000000E-10	-4.282281E-4
5.500000E-10	-4.162375E-4
6.000000E-10	-4.265152E-4
6.500000E-10	-4.624871E-4
7.000000E-10	-5.292922E-4
7.500000E-10	-6.149397E-4
8.000000E-10	-7.023001E-4
8.500000E-10	-7.828088E-4
9.000000E-10	-8.530397E-4
9.500000E-10	-9.061412E-4
1.000000E-9	-9.386872E-4
1.050000E-9	-9.455390E-4
1.100000E-9	-9.266966E-4
1.150000E-9	-8.872987E-4
1.200000E-9	-8.256325E-4
1.250000E-9	-7.451239E-4
1.300000E-9	-6.663282E-4
1.350000E-9	-5.978102E-4
1.400000E-9	-5.344310E-4
1.450000E-9	-4.830425E-4
1.500000E-9	-4.624871E-4
1.550000E-9	-4.470706E-4
1.600000E-9	-4.093857E-4
1.650000E-9	-3.717008E-4
1.700000E-9	-3.562842E-4
1.750000E-9	-3.460065E-4
1.800000E-9	-3.442936E-4
1.850000E-9	-3.579972E-4
1.900000E-9	-3.665619E-4
1.950000E-9	-3.562842E-4
2.000000E-9	-3.305900E-4
2.050000E-9	-3.134605E-4
2.100000E-9	-2.997569E-4
2.150000E-9	-2.826274E-4
2.200000E-9	-2.637849E-4
2.250000E-9	-2.483684E-4
2.300000E-9	-2.346648E-4
2.350000E-9	-2.158223E-4
2.400000E-9	-1.918410E-4
2.450000E-9	-1.644338E-4
2.500000E-9	-1.421654E-4
2.550000E-9	-1.353136E-4
2.600000E-9	-1.387395E-4
2.650000E-9	-1.558690E-4
2.700000E-9	-1.952669E-4
2.750000E-9	-2.466554E-4
2.800000E-9	-2.980439E-4
2.850000E-9	-3.545713E-4
2.900000E-9	-4.265152E-4
2.950000E-9	-4.967461E-4
3.000000E-9	-5.515605E-4
3.050000E-9	-6.046620E-4
3.100000E-9	-6.594764E-4
3.150000E-9	-7.074390E-4
3.200000E-9	-7.451239E-4
3.250000E-9	-7.862347E-4
3.300000E-9	-8.256325E-4
3.350000E-9	-8.564656E-4
3.400000E-9	-8.872987E-4
3.450000E-9	-9.266966E-4
3.500000E-9	-9.643815E-4
3.550000E-9	-9.797980E-4
3.600000E-9	-9.712333E-4
3.650000E-9	-9.421131E-4
3.700000E-9	-8.838728E-4
3.750000E-9	-7.862347E-4
3.800000E-9	-6.629023E-4
3.850000E-9	-5.310051E-4
3.900000E-9	-3.973950E-4
3.950000E-9	-2.654979E-4
4.000000E-9	-1.438784E-4
4.050000E-9	-3.767549E-5
4.100000E-9	4.283316E-5
4.150000E-9	9.422166E-5
4.200000E-9	1.044994E-4
4.250000E-9	7.195331E-5
4.300000E-9	-1.703543E-6
4.350000E-9	-1.113323E-4
4.400000E-9	-2.295259E-4
4.450000E-9	-3.305900E-4
4.500000E-9	-3.991080E-4
4.550000E-9	-4.436447E-4
4.600000E-9	-4.676260E-4
4.650000E-9	-4.573483E-4
4.700000E-9	-4.110986E-4
4.750000E-9	-3.545713E-4
4.800000E-9	-2.980439E-4
4.850000E-9	-2.363777E-4
4.900000E-9	-1.729985E-4
4.950000E-9	-1.336007E-4
5.000000E-9	-1.216100E-4
5.050000E-9	-1.250359E-4
5.100000E-9	-1.421654E-4
5.150000E-9	-1.832762E-4
5.200000E-9	-2.398036E-4
5.250000E-9	-3.014698E-4
5.300000E-9	-3.648490E-4
5.350000E-9	-4.333670E-4
5.400000E-9	-4.933202E-4
5.450000E-9	-5.344310E-4
5.500000E-9	-5.584123E-4
5.550000E-9	-5.635512E-4
5.600000E-9	-5.549864E-4
5.650000E-9	-5.310051E-4
5.700000E-9	-4.916073E-4
5.750000E-9	-4.556353E-4
5.800000E-9	-4.179504E-4
5.850000E-9	-3.802655E-4
5.900000E-9	-3.562842E-4
5.950000E-9	-3.665619E-4
6.000000E-9	-4.076727E-4
6.050000E-9	-4.659130E-4
6.100000E-9	-5.378569E-4
6.150000E-9	-6.115138E-4
6.200000E-9	-6.766059E-4
6.250000E-9	-7.314203E-4
6.300000E-9	-7.759570E-4
6.350000E-9	-7.862347E-4
6.400000E-9	-7.673922E-4
6.450000E-9	-7.314203E-4
6.500000E-9	-6.748929E-4
6.550000E-9	-5.960972E-4
6.600000E-9	-5.173015E-4
6.650000E-9	-4.556353E-4
6.700000E-9	-4.076727E-4
6.750000E-9	-3.631360E-4
6.800000E-9	-3.357288E-4
6.850000E-9	-3.357288E-4
6.900000E-9	-3.511454E-4
6.950000E-9	-3.785526E-4
7.000000E-9	-4.419317E-4
7.050000E-9	-5.378569E-4
7.100000E-9	-6.389210E-4
7.150000E-9	-7.416980E-4
7.200000E-9	-8.444750E-4
7.250000E-9	-9.232707E-4
7.300000E-9	-9.660944E-4
7.350000E-9	-9.797980E-4
7.400000E-9	-9.729462E-4
7.450000E-9	-9.421131E-4
7.500000E-9	-8.924376E-4
7.550000E-9	-8.393361E-4
7.600000E-9	-7.828088E-4
7.650000E-9	-7.262814E-4
7.700000E-9	-6.851706E-4
7.750000E-9	-6.629023E-4
7.800000E-9	-6.560505E-4
7.850000E-9	-6.594764E-4
7.900000E-9	-6.680411E-4
7.950000E-9	-6.834577E-4
8.000000E-9	-6.988742E-4
8.050000E-9	-7.125778E-4
8.100000E-9	-7.245685E-4
8.150000E-9	-7.245685E-4
8.200000E-9	-7.125778E-4
8.250000E-9	-6.800318E-4
8.300000E-9	-6.235044E-4
8.350000E-9	-5.566994E-4
8.400000E-9	-4.984591E-4
8.450000E-9	-4.522094E-4
8.500000E-9	-4.145245E-4
8.550000E-9	-3.888303E-4
8.600000E-9	-3.854044E-4
8.650000E-9	-3.973950E-4
8.700000E-9	-4.282281E-4
8.750000E-9	-4.744778E-4
8.800000E-9	-5.275792E-4
8.850000E-9	-5.841066E-4
8.900000E-9	-6.389210E-4
8.950000E-9	-6.868836E-4
9.000000E-9	-7.160037E-4
9.050000E-9	-7.331332E-4
9.100000E-9	-7.451239E-4
9.150000E-9	-7.434109E-4
9.200000E-9	-7.245685E-4
9.250000E-9	-6.937354E-4
9.300000E-9	-6.766059E-4
9.350000E-9	-6.920224E-4
9.400000E-9	-7.142908E-4
9.450000E-9	-7.125778E-4
9.500000E-9	-7.125778E-4
9.550000E-9	-7.228555E-4
9.600000E-9	-7.297073E-4
9.650000E-9	-7.160037E-4
9.700000E-9	-7.108649E-4
9.750000E-9	-7.142908E-4
9.800000E-9	-7.091519E-4
9.850000E-9	-6.920224E-4
9.900000E-9	-6.851706E-4
9.950000E-9	-6.937354E-4
1.000000E-8	-6.937354E-4
1.005000E-8	-6.817447E-4
1.010000E-8	-6.680411E-4
1.015000E-8	-6.509116E-4
1.020000E-8	-6.303562E-4
1.025000E-8	-6.252174E-4
1.030000E-8	-6.269303E-4
1.035000E-8	-6.080879E-4
1.040000E-8	-5.652641E-4
1.045000E-8	-5.138756E-4
1.050000E-8	-4.659130E-4
1.055000E-8	-4.316540E-4
1.060000E-8	-4.230893E-4
1.065000E-8	-4.179504E-4
1.070000E-8	-4.042468E-4
1.075000E-8	-4.042468E-4
1.080000E-8	-4.265152E-4
1.085000E-8	-4.522094E-4
1.090000E-8	-4.796166E-4
1.095000E-8	-5.155886E-4
1.100000E-8	-5.566994E-4
1.105000E-8	-5.823936E-4
1.110000E-8	-5.926713E-4
1.115000E-8	-5.909584E-4
1.120000E-8	-5.755418E-4
1.125000E-8	-5.566994E-4
1.130000E-8	-5.481346E-4
1.135000E-8	-5.618382E-4
1.140000E-8	-5.892454E-4
1.145000E-8	-6.269303E-4
1.150000E-8	-6.748929E-4
1.155000E-8	-7.314203E-4
1.160000E-8	-7.862347E-4
1.165000E-8	-8.444750E-4
1.170000E-8	-9.095671E-4
1.175000E-8	-9.558167E-4
1.180000E-8	-9.678074E-4
1.185000E-8	-9.678074E-4
1.190000E-8	-9.643815E-4
1.195000E-8	-9.386872E-4
1.200000E-8	-8.838728E-4
1.205000E-8	-8.102160E-4
1.210000E-8	-7.331332E-4
1.215000E-8	-6.577634E-4
1.220000E-8	-5.960972E-4
1.225000E-8	-5.327181E-4
1.230000E-8	-4.607742E-4
1.235000E-8	-4.008209E-4
1.240000E-8	-3.682749E-4
1.245000E-8	-3.562842E-4
1.250000E-8	-3.614231E-4
1.255000E-8	-3.888303E-4
1.260000E-8	-4.453576E-4
1.265000E-8	-5.241533E-4
1.270000E-8	-6.149397E-4
1.275000E-8	-7.108649E-4
1.280000E-8	-8.033642E-4
1.285000E-8	-8.787340E-4
1.290000E-8	-9.438261E-4
1.295000E-8	-1.000353E-3
1.300000E-8	-1.050029E-3
1.305000E-8	-1.092853E-3
1.310000E-8	-1.125399E-3
1.315000E-8	-1.132251E-3
1.320000E-8	-1.099705E-3
1.325000E-8	-1.031187E-3
1.330000E-8	-9.318354E-4
1.335000E-8	-8.153548E-4
1.340000E-8	-7.005872E-4
1.345000E-8	-6.029490E-4
1.350000E-8	-5.207274E-4
1.355000E-8	-4.367929E-4
1.360000E-8	-3.288770E-4
1.365000E-8	-2.209611E-4
1.370000E-8	-1.507302E-4
1.375000E-8	-1.198971E-4
1.380000E-8	-1.027676E-4
1.385000E-8	-1.010546E-4
1.390000E-8	-1.267489E-4
1.395000E-8	-1.695726E-4
1.400000E-8	-2.226741E-4
1.405000E-8	-2.980439E-4
1.410000E-8	-3.871173E-4
1.415000E-8	-4.744778E-4
1.420000E-8	-5.532735E-4
1.425000E-8	-6.132267E-4
1.430000E-8	-6.594764E-4
1.435000E-8	-7.005872E-4
1.440000E-8	-7.399850E-4
1.445000E-8	-7.691052E-4
1.450000E-8	-7.965124E-4
1.455000E-8	-8.153548E-4
1.460000E-8	-7.999383E-4
1.465000E-8	-7.605404E-4
1.470000E-8	-7.108649E-4
1.475000E-8	-6.474857E-4
1.480000E-8	-5.738289E-4
1.485000E-8	-5.155886E-4
1.490000E-8	-4.744778E-4
1.495000E-8	-4.539224E-4
1.500000E-8	-4.624871E-4
1.505000E-8	-4.847555E-4
1.510000E-8	-5.224404E-4
1.515000E-8	-5.686900E-4
1.520000E-8	-6.149397E-4
1.525000E-8	-6.440598E-4
1.530000E-8	-6.629023E-4
1.535000E-8	-6.834577E-4
1.540000E-8	-6.937354E-4
1.545000E-8	-6.783188E-4
1.550000E-8	-6.372080E-4
1.555000E-8	-5.875325E-4
1.560000E-8	-5.258663E-4
1.565000E-8	-4.642001E-4
1.570000E-8	-4.265152E-4
1.575000E-8	-4.059598E-4
1.580000E-8	-3.871173E-4
1.585000E-8	-3.854044E-4
1.590000E-8	-4.059598E-4
1.595000E-8	-4.419317E-4
1.600000E-8	-5.035979E-4
1.605000E-8	-6.029490E-4
1.610000E-8	-7.108649E-4
1.615000E-8	-7.999383E-4
1.620000E-8	-8.804469E-4
1.625000E-8	-9.369743E-4
1.630000E-8	-9.455390E-4
1.635000E-8	-9.301225E-4
1.640000E-8	-9.198448E-4
1.645000E-8	-9.061412E-4
1.650000E-8	-8.753081E-4
1.655000E-8	-8.359102E-4
1.660000E-8	-7.965124E-4
1.665000E-8	-7.708181E-4
1.670000E-8	-7.588275E-4
1.675000E-8	-7.519757E-4
1.680000E-8	-7.554016E-4
1.685000E-8	-7.896606E-4
1.690000E-8	-8.359102E-4
1.695000E-8	-8.479009E-4
1.700000E-8	-8.359102E-4
1.705000E-8	-8.290584E-4
1.710000E-8	-8.033642E-4
1.715000E-8	-7.399850E-4
1.720000E-8	-6.800318E-4
1.725000E-8	-6.389210E-4
1.730000E-8	-5.892454E-4
1.735000E-8	-5.429958E-4
1.740000E-8	-5.207274E-4
1.745000E-8	-5.121627E-4
1.750000E-8	-5.053109E-4
1.755000E-8	-5.138756E-4
1.760000E-8	-5.412828E-4
1.765000E-8	-5.704030E-4
1.770000E-8	-5.960972E-4
1.775000E-8	-6.149397E-4
1.780000E-8	-6.149397E-4
1.785000E-8	-5.995231E-4
1.790000E-8	-5.755418E-4
1.795000E-8	-5.241533E-4
1.800000E-8	-4.436447E-4
1.805000E-8	-3.682749E-4
1.810000E-8	-3.134605E-4
1.815000E-8	-2.620720E-4
1.820000E-8	-2.329518E-4
1.825000E-8	-2.380907E-4
1.830000E-8	-2.620720E-4
1.835000E-8	-2.860533E-4
1.840000E-8	-3.203123E-4
1.845000E-8	-3.836914E-4
1.850000E-8	-4.710519E-4
1.855000E-8	-5.669771E-4
1.860000E-8	-6.509116E-4
1.865000E-8	-7.142908E-4
1.870000E-8	-7.639663E-4
1.875000E-8	-7.999383E-4
1.880000E-8	-7.947994E-4
1.885000E-8	-7.382721E-4
1.890000E-8	-6.629023E-4
1.895000E-8	-5.892454E-4
1.900000E-8	-5.190145E-4
1.905000E-8	-4.402188E-4
1.910000E-8	-3.734137E-4
1.915000E-8	-3.477195E-4
1.920000E-8	-3.614231E-4
1.925000E-8	-3.854044E-4
1.930000E-8	-4.179504E-4
1.935000E-8	-4.727648E-4
1.940000E-8	-5.464217E-4
1.945000E-8	-6.166526E-4
1.950000E-8	-6.714670E-4
1.955000E-8	-7.040131E-4
1.960000E-8	-7.108649E-4
1.965000E-8	-6.851706E-4
1.970000E-8	-6.337821E-4
1.975000E-8	-5.686900E-4
1.980000E-8	-4.898943E-4
1.985000E-8	-3.956821E-4
1.990000E-8	-3.168864E-4
1.995000E-8	-2.689238E-4
2.000000E-8	-2.432295E-4
2.005000E-8	-2.398036E-4
2.010000E-8	-2.637849E-4
2.015000E-8	-3.066087E-4
2.020000E-8	-3.477195E-4
2.025000E-8	-3.854044E-4
2.030000E-8	-4.265152E-4
2.035000E-8	-4.744778E-4
2.040000E-8	-5.258663E-4
2.045000E-8	-5.823936E-4
2.050000E-8	-6.320692E-4
2.055000E-8	-6.680411E-4
2.060000E-8	-6.971613E-4
2.065000E-8	-7.074390E-4
2.070000E-8	-6.885965E-4
2.075000E-8	-6.543375E-4
2.080000E-8	-6.183656E-4
2.085000E-8	-5.669771E-4
2.090000E-8	-5.018850E-4
2.095000E-8	-4.385058E-4
2.100000E-8	-3.871173E-4
2.105000E-8	-3.374418E-4
2.110000E-8	-3.031828E-4
2.115000E-8	-2.980439E-4
2.120000E-8	-3.168864E-4
2.125000E-8	-3.442936E-4
2.130000E-8	-3.905432E-4
2.135000E-8	-4.590612E-4
2.140000E-8	-5.412828E-4
2.145000E-8	-6.252174E-4
2.150000E-8	-7.091519E-4
2.155000E-8	-7.982253E-4
2.160000E-8	-8.924376E-4
2.165000E-8	-9.729462E-4
2.170000E-8	-1.015770E-3
2.175000E-8	-1.014057E-3
2.180000E-8	-9.815110E-4
2.185000E-8	-9.404002E-4
2.190000E-8	-8.890117E-4
2.195000E-8	-8.273455E-4
2.200000E-8	-7.605404E-4
