Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-05-14
Run Name	Heating_trial_165C
Operator	Keshav
Date	5/14/2025
Time	19:15
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	8
dt	50.000001E-12
time stamp (ms)	7:23:50 PM
	
Time	Amplitude
0.000000E+0	7.588493E-4
5.000000E-11	7.519975E-4
1.000000E-10	7.451457E-4
1.500000E-10	7.143126E-4
2.000000E-10	6.817665E-4
2.500000E-10	6.646370E-4
3.000000E-10	6.440816E-4
3.500000E-10	6.218133E-4
4.000000E-10	6.115356E-4
4.500000E-10	5.995449E-4
5.000000E-10	5.995449E-4
5.500000E-10	6.269521E-4
6.000000E-10	6.560723E-4
6.500000E-10	6.680629E-4
7.000000E-10	6.783406E-4
7.500000E-10	7.074608E-4
8.000000E-10	7.263032E-4
8.500000E-10	7.485716E-4
9.000000E-10	8.068119E-4
9.500000E-10	8.701910E-4
1.000000E-9	9.044500E-4
1.050000E-9	9.113018E-4
1.100000E-9	9.061630E-4
1.150000E-9	8.804687E-4
1.200000E-9	8.325061E-4
1.250000E-9	7.794047E-4
1.300000E-9	7.468586E-4
1.350000E-9	7.245903E-4
1.400000E-9	7.091737E-4
1.450000E-9	7.194514E-4
1.500000E-9	7.674140E-4
1.550000E-9	8.427838E-4
1.600000E-9	9.404220E-4
1.650000E-9	1.079171E-3
1.700000E-9	1.238475E-3
1.750000E-9	1.385789E-3
1.800000E-9	1.490279E-3
1.850000E-9	1.524538E-3
1.900000E-9	1.490279E-3
1.950000E-9	1.414909E-3
2.000000E-9	1.301854E-3
2.050000E-9	1.151115E-3
2.100000E-9	9.866716E-4
2.150000E-9	8.342191E-4
2.200000E-9	6.817665E-4
2.250000E-9	5.532953E-4
2.300000E-9	4.950550E-4
2.350000E-9	5.121845E-4
2.400000E-9	5.704248E-4
2.450000E-9	6.423687E-4
2.500000E-9	7.228773E-4
2.550000E-9	7.965342E-4
2.600000E-9	8.376450E-4
2.650000E-9	8.273673E-4
2.700000E-9	7.657011E-4
2.750000E-9	6.612111E-4
2.800000E-9	5.241751E-4
2.850000E-9	3.785744E-4
2.900000E-9	2.346866E-4
2.950000E-9	1.250578E-4
