Study Name	SiC_phase_study
Sample Name	2025-11-07
Run Name	spot03
Operator	Keshav
Date	11/7/2025
Time	14:12
Sign	NEG
Grating Spacing	07.60um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	3
dt	50.000001E-12
time stamp (ms)	2:15:29 PM
	
Time	Amplitude
0.000000E+0	-3.357466E-4
5.000000E-11	-3.014876E-4
1.000000E-10	-2.655157E-4
1.500000E-10	-2.500991E-4
2.000000E-10	-2.535250E-4
2.500000E-10	-2.398214E-4
3.000000E-10	-2.124142E-4
3.500000E-10	-2.038495E-4
4.000000E-10	-2.141272E-4
4.500000E-10	-2.055624E-4
5.000000E-10	-1.867200E-4
5.500000E-10	-1.695905E-4
6.000000E-10	-1.438962E-4
6.500000E-10	-1.199149E-4
7.000000E-10	-1.130631E-4
7.500000E-10	-1.113502E-4
8.000000E-10	-1.113502E-4
8.500000E-10	-1.319056E-4
9.000000E-10	-1.713034E-4
9.500000E-10	-2.004236E-4
1.000000E-9	-1.935718E-4
1.050000E-9	-1.695905E-4
1.100000E-9	-1.490351E-4
1.150000E-9	-1.164890E-4
1.200000E-9	-5.996165E-5
1.250000E-9	1.198225E-5
1.300000E-9	8.221320E-5
1.350000E-9	1.404535E-4
1.400000E-9	1.952679E-4
1.450000E-9	2.432305E-4
1.500000E-9	2.637859E-4
1.550000E-9	2.363787E-4
1.600000E-9	1.438794E-4
1.650000E-9	-6.860199E-6
1.700000E-9	-1.918588E-4
1.750000E-9	-3.837092E-4
1.800000E-9	-5.567172E-4
1.850000E-9	-6.800496E-4
1.900000E-9	-7.331510E-4
1.950000E-9	-7.228733E-4
2.000000E-9	-6.663460E-4
2.050000E-9	-5.635690E-4
2.100000E-9	-4.076905E-4
2.150000E-9	-2.363955E-4
2.200000E-9	-8.736885E-5
2.250000E-9	3.767650E-5
2.300000E-9	1.404535E-4
2.350000E-9	1.747125E-4
2.400000E-9	1.370276E-4
2.450000E-9	5.651895E-5
2.500000E-9	-5.824870E-5
2.550000E-9	-2.089883E-4
2.600000E-9	-3.545891E-4
2.650000E-9	-4.642179E-4
2.700000E-9	-5.481524E-4
2.750000E-9	-5.995409E-4
2.800000E-9	-6.063927E-4
2.850000E-9	-5.858373E-4
2.900000E-9	-5.567172E-4
2.950000E-9	-5.293100E-4
3.000000E-9	-5.104675E-4
3.050000E-9	-5.087546E-4
3.100000E-9	-5.327359E-4
3.150000E-9	-5.806985E-4
3.200000E-9	-6.372258E-4
3.250000E-9	-6.834755E-4
3.300000E-9	-7.074568E-4
3.350000E-9	-7.006050E-4
3.400000E-9	-6.594942E-4
3.450000E-9	-6.081057E-4
3.500000E-9	-5.669949E-4
3.550000E-9	-5.138934E-4
3.600000E-9	-4.419495E-4
3.650000E-9	-3.614409E-4
3.700000E-9	-2.706545E-4
3.750000E-9	-1.627387E-4
3.800000E-9	-7.366525E-5
3.850000E-9	-2.398970E-5
3.900000E-9	1.704551E-6
3.950000E-9	5.130451E-6
4.000000E-9	-6.860199E-6
4.050000E-9	-1.713790E-5
4.100000E-9	-2.570265E-5
4.150000E-9	-5.482280E-5
4.200000E-9	-1.044984E-4
4.250000E-9	-1.507480E-4
4.300000E-9	-1.969977E-4
4.350000E-9	-2.518121E-4
4.400000E-9	-2.912099E-4
4.450000E-9	-3.083394E-4
4.500000E-9	-3.323207E-4
4.550000E-9	-3.751445E-4
4.600000E-9	-4.094035E-4
4.650000E-9	-4.368107E-4
4.700000E-9	-4.676438E-4
4.750000E-9	-4.779215E-4
4.800000E-9	-4.505143E-4
4.850000E-9	-4.111164E-4
4.900000E-9	-3.751445E-4
4.950000E-9	-3.151912E-4
5.000000E-9	-2.363955E-4
5.050000E-9	-1.678775E-4
5.100000E-9	-1.182020E-4
5.150000E-9	-7.195230E-5
5.200000E-9	-2.741560E-5
5.250000E-9	-6.860199E-6
5.300000E-9	-1.713790E-5
5.350000E-9	-5.824870E-5
5.400000E-9	-1.182020E-4
5.450000E-9	-1.850070E-4
5.500000E-9	-2.535250E-4
5.550000E-9	-3.066265E-4
5.600000E-9	-3.374596E-4
5.650000E-9	-3.528761E-4
5.700000E-9	-3.460243E-4
5.750000E-9	-3.169042E-4
5.800000E-9	-2.706545E-4
5.850000E-9	-2.244049E-4
5.900000E-9	-1.969977E-4
5.950000E-9	-1.884329E-4
6.000000E-9	-2.021365E-4
6.050000E-9	-2.329696E-4
6.100000E-9	-2.740804E-4
6.150000E-9	-3.032006E-4
6.200000E-9	-3.254689E-4
6.250000E-9	-3.563020E-4
6.300000E-9	-4.128294E-4
6.350000E-9	-4.744956E-4
6.400000E-9	-5.224582E-4
6.450000E-9	-5.584301E-4
6.500000E-9	-5.669949E-4
6.550000E-9	-5.481524E-4
6.600000E-9	-5.207452E-4
6.650000E-9	-5.104675E-4
6.700000E-9	-4.933380E-4
6.750000E-9	-4.710697E-4
6.800000E-9	-4.385236E-4
6.850000E-9	-4.128294E-4
6.900000E-9	-4.042646E-4
6.950000E-9	-4.213941E-4
7.000000E-9	-4.436625E-4
7.050000E-9	-4.522272E-4
7.100000E-9	-4.522272E-4
7.150000E-9	-4.419495E-4
7.200000E-9	-4.299589E-4
7.250000E-9	-4.145423E-4
7.300000E-9	-3.956999E-4
7.350000E-9	-3.648668E-4
7.400000E-9	-3.323207E-4
7.450000E-9	-3.186171E-4
7.500000E-9	-3.271819E-4
7.550000E-9	-3.374596E-4
7.600000E-9	-3.460243E-4
7.650000E-9	-3.682927E-4
7.700000E-9	-4.025517E-4
7.750000E-9	-4.299589E-4
7.800000E-9	-4.573661E-4
7.850000E-9	-5.053287E-4
7.900000E-9	-5.652819E-4
7.950000E-9	-6.235222E-4
8.000000E-9	-6.646330E-4
8.050000E-9	-6.817625E-4
8.100000E-9	-6.731978E-4
8.150000E-9	-6.543553E-4
8.200000E-9	-6.200963E-4
8.250000E-9	-5.669949E-4
8.300000E-9	-5.190323E-4
8.350000E-9	-4.830603E-4
8.400000E-9	-4.470884E-4
8.450000E-9	-4.076905E-4
8.500000E-9	-3.785704E-4
8.550000E-9	-3.597279E-4
8.600000E-9	-3.511632E-4
8.650000E-9	-3.734315E-4
8.700000E-9	-4.436625E-4
8.750000E-9	-5.344488E-4
8.800000E-9	-6.200963E-4
8.850000E-9	-6.766237E-4
8.900000E-9	-6.971791E-4
8.950000E-9	-6.886143E-4
9.000000E-9	-6.526424E-4
9.050000E-9	-5.789855E-4
9.100000E-9	-4.710697E-4
9.150000E-9	-3.563020E-4
9.200000E-9	-2.363955E-4
9.250000E-9	-1.250538E-4
9.300000E-9	-4.283215E-5
9.350000E-9	1.704551E-6
9.400000E-9	2.225995E-5
9.450000E-9	1.198225E-5
9.500000E-9	-3.255445E-5
9.550000E-9	-9.935950E-5
9.600000E-9	-1.730164E-4
9.650000E-9	-2.483862E-4
9.700000E-9	-3.169042E-4
9.750000E-9	-3.717186E-4
9.800000E-9	-4.111164E-4
9.850000E-9	-4.299589E-4
9.900000E-9	-4.282459E-4
9.950000E-9	-4.094035E-4
1.000000E-8	-3.871351E-4
1.005000E-8	-3.665797E-4
1.010000E-8	-3.511632E-4
1.015000E-8	-3.306078E-4
1.020000E-8	-3.117653E-4
1.025000E-8	-2.997747E-4
1.030000E-8	-3.049135E-4
1.035000E-8	-3.203301E-4
1.040000E-8	-3.306078E-4
1.045000E-8	-3.117653E-4
1.050000E-8	-2.757934E-4
1.055000E-8	-2.278308E-4
1.060000E-8	-1.627387E-4
1.065000E-8	-9.422065E-5
1.070000E-8	-4.111920E-5
1.075000E-8	-1.199905E-5
1.080000E-8	5.130451E-6
1.085000E-8	1.198225E-5
1.090000E-8	6.843401E-6
1.095000E-8	-2.741560E-5
1.100000E-8	-8.051705E-5
1.105000E-8	-1.353315E-4
1.110000E-8	-1.935718E-4
1.115000E-8	-2.706545E-4
1.120000E-8	-3.614409E-4
1.125000E-8	-4.539402E-4
1.130000E-8	-5.430136E-4
1.135000E-8	-6.200963E-4
1.140000E-8	-6.834755E-4
1.145000E-8	-7.331510E-4
1.150000E-8	-7.554194E-4
1.155000E-8	-7.262992E-4
1.160000E-8	-6.577812E-4
1.165000E-8	-5.772726E-4
1.170000E-8	-4.727826E-4
1.175000E-8	-3.357466E-4
1.180000E-8	-2.004236E-4
1.185000E-8	-8.908180E-5
1.190000E-8	-5.147249E-6
1.195000E-8	4.281535E-5
1.200000E-8	5.480600E-5
1.205000E-8	2.568585E-5
1.210000E-8	-5.824870E-5
1.215000E-8	-1.815811E-4
1.220000E-8	-3.083394E-4
1.225000E-8	-4.231071E-4
1.230000E-8	-5.378747E-4
1.235000E-8	-6.269481E-4
1.240000E-8	-6.680589E-4
1.245000E-8	-6.509294E-4
1.250000E-8	-5.978280E-4
1.255000E-8	-5.327359E-4
1.260000E-8	-4.796344E-4
1.265000E-8	-4.368107E-4
1.270000E-8	-3.888481E-4
1.275000E-8	-3.340337E-4
1.280000E-8	-2.877840E-4
1.285000E-8	-2.483862E-4
1.290000E-8	-1.952847E-4
1.295000E-8	-1.387574E-4
1.300000E-8	-8.051705E-5
1.305000E-8	-1.028610E-5
1.310000E-8	6.165780E-5
1.315000E-8	1.027686E-4
1.320000E-8	1.079075E-4
1.325000E-8	7.878730E-5
1.330000E-8	1.198225E-5
1.335000E-8	-8.394295E-5
1.340000E-8	-1.850070E-4
1.345000E-8	-2.912099E-4
1.350000E-8	-4.111164E-4
1.355000E-8	-5.207452E-4
1.360000E-8	-5.995409E-4
1.365000E-8	-6.475035E-4
