Study Name	PremaTech_CVD_SiC_2
Sample Name	2024-11-14-Tru2
Run Name	spot03
Operator	Keshav
Date	11/14/2024
Time	18:50
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	10
dt	100.000001E-12
time stamp (ms)	7:00:20 PM
	
Time	Amplitude
0.000000E+0	-3.323148E-4
1.000000E-10	-5.618501E-4
2.000000E-10	-7.845336E-4
3.000000E-10	-9.232826E-4
4.000000E-10	-8.958754E-4
5.000000E-10	-7.297192E-4
6.000000E-10	-4.967580E-4
7.000000E-10	-2.860652E-4
8.000000E-10	-1.353256E-4
9.000000E-10	-8.565002E-5
1.000000E-9	-1.216220E-4
1.100000E-9	-1.901400E-4
1.200000E-9	-2.706486E-4
1.300000E-9	-3.734256E-4
1.400000E-9	-4.813415E-4
1.500000E-9	-6.166645E-4
1.600000E-9	-7.143027E-4
1.700000E-9	-7.451358E-4
1.800000E-9	-6.988861E-4
1.900000E-9	-5.995350E-4
2.000000E-9	-4.950451E-4
2.100000E-9	-4.196753E-4
2.200000E-9	-4.111105E-4
2.300000E-9	-4.693508E-4
2.400000E-9	-5.361559E-4
2.500000E-9	-5.738408E-4
2.600000E-9	-5.412947E-4
2.700000E-9	-4.933321E-4
2.800000E-9	-4.231012E-4
2.900000E-9	-3.494443E-4
3.000000E-9	-2.912040E-4
3.100000E-9	-2.860652E-4
3.200000E-9	-3.425925E-4
3.300000E-9	-4.145364E-4
3.400000E-9	-5.018969E-4
3.500000E-9	-5.310170E-4
3.600000E-9	-5.310170E-4
3.700000E-9	-4.933321E-4
3.800000E-9	-4.796285E-4
3.900000E-9	-4.299530E-4
4.000000E-9	-4.059717E-4
4.100000E-9	-3.819904E-4
4.200000E-9	-3.494443E-4
4.300000E-9	-2.809263E-4
4.400000E-9	-2.089824E-4
4.500000E-9	-1.969918E-4
4.600000E-9	-2.843522E-4
4.700000E-9	-4.282400E-4
4.800000E-9	-6.063868E-4
4.900000E-9	-7.434228E-4
5.000000E-9	-8.085149E-4
5.100000E-9	-7.708300E-4
5.200000E-9	-7.005991E-4
5.300000E-9	-6.183775E-4
5.400000E-9	-5.378688E-4
5.500000E-9	-4.333789E-4
5.600000E-9	-3.254630E-4
5.700000E-9	-2.329637E-4
5.800000E-9	-2.072695E-4
5.900000E-9	-2.072695E-4
6.000000E-9	-2.483803E-4
6.100000E-9	-2.757875E-4
6.200000E-9	-2.809263E-4
6.300000E-9	-2.586580E-4
6.400000E-9	-2.466673E-4
6.500000E-9	-2.997688E-4
6.600000E-9	-4.111105E-4
6.700000E-9	-5.515724E-4
6.800000E-9	-6.714789E-4
6.900000E-9	-7.125897E-4
7.000000E-9	-6.731919E-4
7.100000E-9	-5.549983E-4
7.200000E-9	-4.419436E-4
7.300000E-9	-3.614350E-4
7.400000E-9	-3.391666E-4
7.500000E-9	-3.528702E-4
7.600000E-9	-3.682868E-4
7.700000E-9	-3.562961E-4
7.800000E-9	-3.203242E-4
7.900000E-9	-2.706486E-4
8.000000E-9	-2.124083E-4
8.100000E-9	-1.798623E-4
8.200000E-9	-1.627328E-4
8.300000E-9	-1.507421E-4
8.400000E-9	-1.935659E-4
8.500000E-9	-2.466673E-4
8.600000E-9	-3.425925E-4
8.700000E-9	-4.419436E-4
8.800000E-9	-5.138875E-4
8.900000E-9	-5.601372E-4
9.000000E-9	-6.029609E-4
9.100000E-9	-6.115257E-4
9.200000E-9	-6.063868E-4
9.300000E-9	-6.235163E-4
9.400000E-9	-6.577753E-4
9.500000E-9	-5.961091E-4
9.600000E-9	-5.447206E-4
9.700000E-9	-4.710638E-4
9.800000E-9	-4.162494E-4
9.900000E-9	-4.145364E-4
1.000000E-8	-4.676379E-4
1.010000E-8	-5.207393E-4
1.020000E-8	-5.378688E-4
1.030000E-8	-4.984710E-4
1.040000E-8	-4.419436E-4
1.050000E-8	-3.665738E-4
1.060000E-8	-3.083335E-4
1.070000E-8	-2.894911E-4
1.080000E-8	-3.083335E-4
1.090000E-8	-3.066206E-4
1.100000E-8	-3.066206E-4
1.110000E-8	-2.894911E-4
1.120000E-8	-3.443055E-4
1.130000E-8	-4.248141E-4
1.140000E-8	-5.378688E-4
1.150000E-8	-6.080998E-4
1.160000E-8	-5.926832E-4
1.170000E-8	-5.138875E-4
1.180000E-8	-3.871292E-4
1.190000E-8	-2.415285E-4
1.200000E-8	-1.987047E-4
1.210000E-8	-2.723616E-4
1.220000E-8	-4.590731E-4
1.230000E-8	-6.406458E-4
1.240000E-8	-7.776818E-4
1.250000E-8	-8.153667E-4
1.260000E-8	-7.896725E-4
1.270000E-8	-7.074509E-4
1.280000E-8	-6.063868E-4
1.290000E-8	-5.001839E-4
1.300000E-8	-4.470825E-4
1.310000E-8	-3.854163E-4
1.320000E-8	-4.025458E-4
1.330000E-8	-4.607861E-4
1.340000E-8	-5.618501E-4
1.350000E-8	-6.646271E-4
1.360000E-8	-7.879595E-4
1.370000E-8	-8.102279E-4
1.380000E-8	-7.571264E-4
1.390000E-8	-6.235163E-4
1.400000E-8	-4.881933E-4
1.410000E-8	-3.203242E-4
1.420000E-8	-2.055565E-4
1.430000E-8	-9.250182E-5
1.440000E-8	-6.166871E-5
1.450000E-8	-5.824281E-5
1.460000E-8	-1.130572E-4
1.470000E-8	-1.901400E-4
1.480000E-8	-2.792134E-4
1.490000E-8	-3.562961E-4
1.500000E-8	-4.333789E-4
1.510000E-8	-4.539343E-4
1.520000E-8	-4.539343E-4
1.530000E-8	-4.231012E-4
1.540000E-8	-4.076846E-4
1.550000E-8	-4.008328E-4
1.560000E-8	-4.008328E-4
1.570000E-8	-4.196753E-4
1.580000E-8	-4.573602E-4
1.590000E-8	-5.275911E-4
