============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Si (14)   Ion Mass= 028.0000
Energy  = 6500000.E-03 keV
Ion Angle to Surface = 45.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=300000.E-01 A
  Layer # 1 - Density =0002.7000 g/cm3
  Layer # 1 -  50 % of Si
  Layer # 1 -  50 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.9337E+04  2.2139E+04  4.0018E+03
0000002   1.8644E+04  2.1825E+04  1.6113E+03
0000003   2.3966E+04  1.5723E+04 -4.4857E+02
0000004   2.0815E+04  2.0182E+04  1.1397E+03
0000005   2.0642E+04  2.3151E+04  2.7021E+02
0000006   1.6311E+04  1.6913E+04 -3.6396E+03
0000007   2.0839E+04  1.9637E+04  1.3399E+03
0000008   1.9393E+04  1.7878E+04  7.8400E+02
0000009   1.9462E+04  2.1913E+04 -2.7813E+03
0000010   2.1331E+04  1.9152E+04 -2.5769E+03
0000011   2.1765E+04  1.8957E+04 -3.0087E+03
0000012   2.0418E+04  2.0973E+04 -2.8436E+03
0000013   1.6092E+04  2.2751E+04  1.0393E+03
0000014   1.7158E+04  2.3091E+04 -2.6142E+03
0000015   1.6232E+04  2.0188E+04  1.9116E+03
0000016   2.1378E+04  2.1154E+04 -2.0643E+03
0000017   2.2634E+04  1.7704E+04 -1.3261E+02
0000018   2.1501E+04  2.0394E+04  4.8573E+02
0000019   1.9345E+04  2.1230E+04 -3.0496E+02
0000020   1.8056E+04  2.0274E+04  1.5052E+03
0000021   1.6547E+04  2.0337E+04  6.0539E+02
0000022   2.2470E+04  1.7886E+04 -8.4205E+02
0000023   1.7679E+04  1.9284E+04 -4.6248E+03
0000024   2.0515E+04  2.2179E+04 -1.2763E+02
0000025   1.7448E+04  2.2698E+04  2.6065E+03
0000026   2.0380E+04  2.2661E+04  5.7757E+02
0000027   2.0173E+04  2.1485E+04  1.8511E+03
0000028   2.0859E+04  2.1154E+04 -2.9921E+02
0000029   1.8851E+04  2.1757E+04  4.7745E+02
0000030   1.9906E+04  1.9608E+04 -1.3247E+03
0000031   1.9479E+04  1.7879E+04 -3.8676E+03
0000032   1.9319E+04  1.8056E+04  1.6478E+03
0000033   1.9799E+04  2.1735E+04  4.8338E+03
0000034   1.7677E+04  2.1899E+04 -6.8677E+02
0000035   1.4245E+04  1.4928E+04 -1.6153E+03
0000036   1.9334E+04  2.0071E+04  2.4390E+03
0000037   2.1027E+04  2.0453E+04  3.2602E+02
0000038   1.6549E+04  2.3023E+04  1.5272E+03
0000039   1.9428E+04  2.2035E+04  5.1758E+02
0000040   2.2261E+04  1.6868E+04  6.9042E+03
0000041   1.8847E+04  1.9983E+04 -4.8421E+03
0000042   2.1427E+04  2.1422E+04  4.7354E+02
0000043   2.0331E+04  2.0335E+04  4.9378E+03
0000044   1.5207E+04  1.8037E+04  4.0902E+03
0000045   2.1812E+04  1.7739E+04 -4.7377E+02
0000046   1.8092E+04  1.7179E+04 -1.0206E+03
0000047   1.9568E+04  2.0536E+04 -2.2581E+03
0000048   1.9576E+04  2.0426E+04  3.9891E+03
0000049   2.0365E+04  1.7561E+04  3.2118E+03
0000050   2.0878E+04  2.0259E+04 -4.2735E+02
0000051   1.6780E+04  2.1584E+04 -1.4805E+03
0000052   2.0553E+04  1.9424E+04  2.6025E+02
0000053   1.9494E+04  2.0391E+04 -3.7472E+02
0000054   1.7072E+04  1.8700E+04  2.3682E+03
0000055   2.2837E+04  1.7810E+04 -1.7077E+01
0000056   2.0255E+04  1.9704E+04  7.1883E+02
0000057   2.1492E+04  1.8916E+04  8.5120E+02
0000058   2.0946E+04  2.0030E+04  1.2660E+03
0000059   2.1245E+04  2.1127E+04 -5.1362E+02
0000060   1.9554E+04  2.3056E+04  1.4524E+03
0000061   2.0181E+04  2.2045E+04  1.9985E+03
0000062   2.1967E+04  1.9261E+04  1.5361E+03
0000063   2.1028E+04  2.1743E+04 -2.0487E+03
0000064   1.9964E+04  1.9325E+04  3.0055E+03
0000065   2.1414E+04  2.0415E+04  6.8757E+02
0000066   2.1246E+04  1.4331E+04  2.5141E+03
0000067   2.1618E+04  2.0508E+04 -3.3082E+03
0000068   1.7180E+04  2.2119E+04 -1.3037E+03
0000069   1.8462E+04  2.1270E+04 -6.5092E+02
0000070   1.9990E+04  1.9680E+04  5.0779E+02
0000071   2.3668E+04  1.6670E+04 -1.0266E+03
0000072   2.0895E+04  2.1717E+04  5.0903E+02
0000073   2.0740E+04  1.8208E+04 -2.1387E+03
0000074   2.1157E+04  1.8910E+04 -2.1146E+03
0000075   2.3047E+04  1.0028E+04 -5.4145E+03
0000076   2.1077E+04  1.9840E+04  5.7347E+02
0000077   1.9808E+04  1.9914E+04 -3.7041E+03
0000078   2.1546E+04  2.0689E+04  1.9933E+02
0000079   1.8700E+04  2.0466E+04  1.2471E+03
0000080   2.1156E+04  1.9016E+04  1.4382E+03
0000081   1.8947E+04  1.7276E+04 -1.8104E+03
0000082   2.2064E+04  1.7411E+04  1.4439E+03
0000083   2.0195E+04  1.9593E+04 -5.7558E+02
0000084   1.4381E+04  2.1279E+04  6.6981E+02
0000085   2.2756E+04  2.0009E+04  1.1599E+03
0000086   1.6050E+04  2.0991E+04 -4.4041E+03
0000087   1.8256E+04  2.1733E+04  2.5121E+02
0000088   1.9907E+04  2.2156E+04  6.0512E+01
0000089   1.5876E+04  1.8628E+04  4.1662E+02
0000090   2.1425E+04  1.9984E+04 -3.1211E+03
0000091   1.9252E+04  2.2677E+04  1.6174E+03
0000092   1.8826E+04  2.1222E+04 -5.0346E+02
0000093   2.1209E+04  2.1331E+04  3.4001E+03
0000094   2.1522E+04  1.9231E+04 -3.2131E+03
0000095   2.1913E+04  1.9605E+04  1.9755E+03
0000096   1.6893E+04  2.1103E+04 -6.2748E+03
0000097   2.0656E+04  1.7959E+04 -2.2465E+02
0000098   1.8738E+04  2.2082E+04 -7.1173E+02
0000099   2.0314E+04  2.1132E+04  7.1745E+02
0000100   2.2383E+04  1.6357E+04  2.6474E+03
0000101   1.9991E+04  2.0128E+04 -1.0799E+03
0000102   1.9246E+04  2.2414E+04  1.8829E+03
0000103   2.0854E+04  2.0593E+04  4.3025E+03
0000104   2.0838E+04  2.0420E+04 -1.5909E+03
0000105   2.0354E+04  2.1561E+04 -3.4469E+02
0000106   2.0292E+04  2.0666E+04  1.8164E+03
0000107   1.8648E+04  2.2047E+04  1.5151E+03
0000108   1.7454E+04  2.1884E+04  3.1894E+03
0000109   2.2587E+04  1.9110E+04 -6.3295E+02
0000110   2.0897E+04  1.8846E+04  7.5178E+02
0000111   2.1711E+04  1.7447E+04  2.2076E+03
0000112   2.1230E+04  1.8082E+04 -2.2265E+03
0000113   2.0878E+04  1.8858E+04 -1.8696E+03
0000114   1.8989E+04  2.0139E+04  1.1489E+02
0000115   1.5331E+04  2.2132E+04  2.6058E+03
0000116   2.2013E+04  1.8774E+04  1.5881E+03
0000117   1.9048E+04  2.1862E+04  1.4401E+03
0000118   2.4511E+04  1.5178E+04 -2.0335E+03
0000119   1.9030E+04  2.1835E+04 -9.6976E+02
0000120   1.7941E+04  2.1864E+04  1.0208E+03
0000121   2.1418E+04  1.8756E+04 -8.0194E+01
0000122   1.8253E+04  1.8357E+04 -2.2459E+03
0000123   1.9483E+04  1.9820E+04 -5.3798E+02
0000124   2.0745E+04  2.1143E+04 -1.4300E+03
0000125   2.2078E+04  2.0605E+04 -1.9020E+03
0000126   1.9888E+04  2.1311E+04  1.2779E+02
0000127   1.6530E+04  2.1260E+04 -1.7771E+03
0000128   1.9774E+04  2.1699E+04 -2.1728E+01
0000129   2.1917E+04  1.9858E+04 -8.0342E+02
0000130   1.9732E+04  2.1721E+04  8.2399E+02
0000131   2.1667E+04  1.7822E+04 -9.9272E+02
0000132   1.8847E+04  1.9443E+04  1.8569E+03
0000133   2.2745E+04  1.8241E+04  2.6438E+03
0000134   2.0766E+04  2.1128E+04 -1.4744E+02
0000135   1.8091E+04  2.0360E+04  3.9218E+03
0000136   2.0250E+04  2.0468E+04 -2.0137E+02
0000137   2.2022E+04  1.8899E+04  4.0733E+03
0000138   2.0580E+04  1.6931E+04 -8.7637E+02
0000139   2.0137E+04  2.1544E+04 -6.7024E+01
0000140   2.2158E+04  1.8430E+04  2.7519E+03
0000141   2.0267E+04  2.1748E+04  2.1335E+03
0000142   2.2032E+04  1.7842E+04 -1.2646E+02
0000143   1.9501E+04  2.1274E+04 -1.9569E+03
0000144   1.9088E+04  1.5902E+04 -1.1848E+03
0000145   2.1454E+04  2.0145E+04  1.2940E+03
0000146   1.9435E+04  2.0016E+04  5.4696E+03
0000147   1.9734E+04  2.1081E+04  2.7048E+03
0000148   1.9332E+04  2.1823E+04  9.6310E+02
0000149   2.2058E+04  1.9707E+04  1.7628E+03
0000150   1.8749E+04  2.1552E+04  9.2483E+02
0000151   2.0819E+04  2.0626E+04 -3.8693E+03
0000152   1.9820E+04  2.2116E+04 -2.3691E+03
0000153   1.9811E+04  2.2977E+04  2.2567E+03
0000154   1.7770E+04  2.0762E+04  6.7126E+02
0000155   2.0164E+04  2.0925E+04 -1.4817E+03
0000156   2.2104E+04  1.7788E+04 -2.1259E+03
0000157   1.8159E+04  1.8265E+04 -4.7726E+03
0000158   2.1556E+04  1.9200E+04  3.7622E+01
0000159   2.0015E+04  1.6483E+04  1.4229E+03
0000160   2.0596E+04  2.0370E+04  2.6942E+02
0000161   1.9285E+04  2.2336E+04 -6.1791E+02
0000162   2.2391E+04  2.0057E+04 -8.2694E+02
0000163   2.2702E+04  2.0098E+04  3.8339E+02
0000164   1.9561E+04  1.9307E+04  4.8583E+02
0000165   1.9763E+04  2.1792E+04 -3.6541E+02
0000166   1.7217E+04  1.8984E+04 -2.2800E+03
0000167   1.8891E+04  2.3074E+04  8.1194E+01
0000168   2.0640E+04  2.0675E+04  4.5600E+02
0000169   2.0512E+04  2.1379E+04  3.2733E+02
0000170   1.7447E+04  2.1313E+04  6.7601E+02
0000171   2.0524E+04  1.9939E+04  3.0935E+03
0000172   1.7758E+04  1.6772E+04 -1.2130E+03
0000173   2.1779E+04  1.9845E+04  4.8598E+02
0000174   2.1425E+04  2.0433E+04 -1.1591E+03
0000175   2.3385E+04  1.7594E+04  1.7154E+03
0000176   2.0729E+04  1.9625E+04  6.3700E+02
0000177   1.5894E+04  2.1390E+04  3.6267E+03
0000178   1.6468E+04  2.0943E+04 -1.1434E+02
0000179   2.1994E+04  1.9347E+04  5.7399E+02
0000180   1.8553E+04  1.8466E+04  2.4819E+02
0000181   2.1782E+04  1.8485E+04 -2.5543E+02
0000182   1.8706E+04  2.1311E+04 -1.4466E+03
0000183   1.9400E+04  2.2584E+04 -7.3960E+02
0000184   2.3499E+04  1.8204E+04  1.9171E+02
0000185   2.2072E+04  1.7002E+04 -1.3069E+03
0000186   2.3725E+04  1.5783E+04  7.1209E+02
0000187   1.8781E+04  2.3033E+04  1.3838E+03
0000188   1.8847E+04  1.7421E+04 -1.2150E+03
0000189   2.0141E+04  2.0599E+04  2.8650E+03
0000190   1.8611E+04  2.1836E+04 -9.8500E+02
0000191   2.1916E+04  1.8014E+04 -3.3683E+03
0000192   1.8519E+04  1.8831E+04  1.5549E+03
0000193   2.0527E+04  2.1716E+04 -3.6125E+02
0000194   1.9917E+04  2.1968E+04 -1.1071E+03
0000195   2.1020E+04  1.6745E+04 -1.8091E+03
0000196   1.9106E+04  2.0188E+04  4.9616E+03
0000197   1.9820E+04  2.0018E+04 -2.5397E+03
0000198   1.8057E+04  2.3596E+04 -7.0633E+01
0000199   1.9655E+04  2.3013E+04 -1.3788E+03
0000200   2.4219E+04  1.7861E+04  7.0258E+01
0000201   2.1064E+04  1.7282E+04 -8.9247E+02
0000202   1.7849E+04  2.1552E+04 -1.0288E+03
0000203   1.9258E+04  2.1721E+04 -1.9311E+03
0000204   2.0160E+04  2.0603E+04 -2.4226E+03
0000205   2.1291E+04  1.9882E+04 -1.8701E+02
0000206   1.9899E+04  1.9492E+04 -2.6675E+03
0000207   1.6217E+04  1.9526E+04 -1.2559E+03
0000208   1.8404E+04  2.0391E+04  2.4558E+03
0000209   2.3425E+04  1.3679E+04  1.8345E+03
0000210   1.9406E+04  2.0767E+04  1.8952E+03
0000211   1.8837E+04  2.1580E+04 -3.5777E+03
0000212   1.7463E+04  1.9071E+04 -1.0099E+03
0000213   1.7659E+04  2.2747E+04 -1.5923E+03
0000214   1.6980E+04  1.9678E+04  4.1262E+03
0000215   2.0271E+04  1.9746E+04  4.0834E+03
0000216   2.1270E+04  1.7129E+04  5.4249E+02
0000217   2.1753E+04  2.1511E+04  8.7740E+02
0000218   1.9890E+04  2.1594E+04  5.0077E+02
0000219   1.9086E+04  2.1565E+04 -2.8665E+02
0000220   2.1059E+04  2.0043E+04  6.3827E+02
0000221   1.9882E+04  1.7276E+04 -2.0262E+03
0000222   2.0889E+04  1.9309E+04  2.0050E+03
0000223   1.7780E+04  2.1856E+04 -3.4047E+02
0000224   1.8271E+04  2.0845E+04  6.7175E+02
0000225   1.9994E+04  1.8483E+04  3.3258E+03
0000226   2.0927E+04  1.9783E+04 -8.3156E+02
0000227   1.7793E+04  2.2749E+04 -4.6632E+03
0000228   2.0267E+04  2.0846E+04  4.0858E+03
0000229   2.0369E+04  1.9979E+04 -2.8163E+03
0000230   1.8740E+04  1.7517E+04 -1.2505E+03
0000231   2.0546E+04  2.1674E+04 -8.7483E+02
0000232   1.9449E+04  1.7216E+04  3.4668E+03
0000233   1.9428E+04  1.9449E+04  4.9158E+02
0000234   2.1384E+04  2.0207E+04 -1.2956E+03
0000235   2.0119E+04  1.9310E+04 -3.4179E+02
0000236   2.1754E+04  2.0462E+04  3.2075E+03
0000237   2.0068E+04  1.7139E+04  3.7816E+03
0000238   1.6903E+04  2.1555E+04 -4.2061E+03
0000239   2.2103E+04  1.9852E+04  2.1655E+03
0000240   1.7922E+04  2.0945E+04 -3.8733E+03
0000241   1.7384E+04  1.8455E+04 -5.5269E+03
0000242   2.1478E+04  2.1247E+04 -1.2583E+03
0000243   1.9114E+04  2.1189E+04 -1.2725E+03
0000244   1.8151E+04  2.1278E+04 -3.8588E+03
0000245   2.1665E+04  1.6463E+04  1.8585E+03
0000246   2.0290E+04  2.0370E+04  7.4847E+02
0000247   1.9699E+04  2.1847E+04  1.7948E+03
0000248   2.1541E+04  2.1747E+04 -1.5779E+02
0000249   2.2465E+04  1.8932E+04 -1.1683E+03
0000250   1.9045E+04  2.0763E+04  9.4296E+02
0000251   1.8365E+04  1.7345E+04  1.9856E+03
0000252   1.9013E+04  2.0578E+04 -4.4655E+03
0000253   1.9883E+04  2.1570E+04 -1.3977E+03
0000254   2.1063E+04  1.9994E+04 -1.7076E+03
0000255   1.9888E+04  1.9803E+04  1.4556E+03
0000256   1.9721E+04  2.1231E+04 -4.8387E+03
0000257   2.2553E+04  1.8193E+04 -4.5766E+03
0000258   1.8440E+04  2.0551E+04 -2.4561E+02
0000259   1.9156E+04  2.0841E+04 -1.7097E+03
0000260   1.7191E+04  2.3062E+04  1.2109E+03
0000261   2.0362E+04  2.1584E+04  5.1175E+03
0000262   2.0609E+04  1.5855E+04 -3.4487E+03
0000263   1.9623E+04  2.1563E+04  6.3440E+02
0000264   1.9513E+04  1.9458E+04  2.5480E+03
0000265   1.7661E+04  2.2773E+04 -2.0080E+01
0000266   2.0119E+04  2.0818E+04 -2.5186E+03
0000267   1.8779E+04  1.8387E+04  9.1792E+02
0000268   1.9087E+04  2.0888E+04 -8.6086E+02
0000269   2.0838E+04  1.8120E+04 -3.0907E+03
0000270   1.6802E+04  2.2625E+04  4.0236E+02
0000271   2.2202E+04  1.7875E+04  2.5649E+03
0000272   1.8458E+04  2.1534E+04  2.6181E+03
0000273   1.9471E+04  2.1740E+04  9.3060E+02
0000274   2.1570E+04  1.9474E+04 -1.1116E+03
0000275   2.0668E+04  2.0158E+04  4.9112E+02
0000276   2.1662E+04  2.1059E+04  7.0058E+02
0000277   1.9916E+04  2.2714E+04  3.0269E+02
0000278   2.1561E+04  1.7888E+04 -1.9524E+03
0000279   2.1821E+04  1.7994E+04 -1.1543E+03
0000280   1.9556E+04  2.0318E+04  1.6687E+03
0000281   2.1171E+04  1.6367E+04 -2.9942E+03
0000282   2.1150E+04  1.9108E+04  7.3051E+02
0000283   2.2081E+04  1.8803E+04 -7.4708E+02
0000284   2.1376E+04  1.9664E+04 -1.2613E+03
0000285   1.9788E+04  2.1712E+04  2.2176E+03
0000286   1.8979E+04  2.0606E+04  1.7663E+03
0000287   1.9376E+04  1.9598E+04  6.3722E+03
0000288   2.1087E+04  2.1779E+04  6.9360E+02
0000289   1.5651E+04  2.2838E+04 -2.6747E+03
0000290   1.7181E+04  2.0903E+04  6.8713E+03
0000291   2.0712E+04  2.0174E+04  1.6904E+03
0000292   2.0490E+04  2.1504E+04  1.0798E+03
0000293   1.7156E+04  1.5535E+04  3.2957E+03
0000294   1.8887E+04  1.9571E+04 -2.4485E+03
0000295   1.9878E+04  2.0705E+04  1.7919E+03
0000296   1.6419E+04  2.3509E+04 -1.4359E+03
0000297   2.0558E+04  2.0991E+04 -1.1774E+02
0000298   1.8418E+04  2.1987E+04  3.2824E+03
0000299   1.9774E+04  1.8076E+04  2.0667E+03
0000300   2.0565E+04  1.8952E+04  2.6667E+03
0000301   2.1783E+04  1.8542E+04 -1.1590E+03
0000302   2.0416E+04  1.9398E+04 -9.1306E+02
0000303   2.2967E+04  1.7893E+04  1.1127E+03
0000304   2.2525E+04  1.9854E+04 -6.4158E+01
0000305   2.0159E+04  2.0078E+04  7.1259E+02
0000306   1.8364E+04  2.0687E+04 -1.9675E+03
0000307   2.2091E+04  1.8781E+04  1.3257E+03
0000308   1.3978E+04  2.3978E+04 -1.1096E+03
0000309   2.0575E+04  1.9584E+04 -3.2049E+03
0000310   2.3927E+04  1.6628E+04  9.7347E+02
0000311   2.0269E+04  2.1013E+04 -2.1057E+03
0000312   2.1048E+04  1.9643E+04 -1.7769E+03
0000313   1.9685E+04  2.2233E+04 -1.0097E+03
0000314   2.1061E+04  1.7112E+04  3.1407E+02
0000315   2.0536E+04  2.1019E+04  2.0251E+03
0000316   1.7990E+04  2.2949E+04 -4.4745E+02
0000317   2.0097E+04  1.9424E+04  2.6658E+03
0000318   2.1002E+04  1.8383E+04  8.4459E+02
0000319   2.0483E+04  1.6622E+04 -8.3386E+02
0000320   2.0177E+04  1.9145E+04  2.7120E+03
0000321   1.6548E+04  1.8931E+04  1.6154E+02
0000322   1.6874E+04  2.3172E+04  9.5684E+02
0000323   1.5049E+04  1.8630E+04 -2.1112E+03
0000324   2.1555E+04  1.6548E+04  2.4526E+03
0000325   1.8393E+04  2.2225E+04 -8.8004E+02
0000326   1.9092E+04  1.9251E+04  5.4181E+02
0000327   2.0734E+04  2.0736E+04  2.5313E+02
0000328   1.8625E+04  2.1944E+04 -1.4772E+03
0000329   2.0649E+04  1.8972E+04 -1.0050E+03
0000330   2.0704E+04  2.0751E+04 -1.1342E+03
0000331   1.8105E+04  2.1162E+04 -2.9817E+03
0000332   2.0127E+04  1.9497E+04  1.1914E+03
0000333   2.2285E+04  1.8781E+04 -1.9758E+03
0000334   2.2625E+04  1.9096E+04 -8.2906E+02
0000335   2.1228E+04  1.8960E+04 -1.1457E+02
0000336   2.0620E+04  2.0955E+04 -9.6524E+02
0000337   2.1642E+04  1.7505E+04  2.9180E+03
0000338   2.2678E+04  1.9338E+04 -1.7199E+03
0000339   1.9780E+04  1.9484E+04  1.5819E+03
0000340   1.8389E+04  2.3004E+04  5.8642E+02
0000341   2.0209E+04  1.9865E+04 -1.0741E+03
0000342   1.7392E+04  1.9170E+04  3.9200E+03
0000343   2.2155E+04  1.9893E+04 -1.0870E+01
0000344   2.0701E+04  1.9837E+04 -7.4342E+02
0000345   2.1175E+04  1.9008E+04  1.2080E+03
0000346   2.3587E+04  1.3237E+04 -4.5447E+02
0000347   1.9703E+04  2.1056E+04 -3.3753E+03
0000348   2.1589E+04  1.9294E+04 -8.2076E+02
0000349   1.6864E+04  1.8314E+04  2.2625E+03
0000350   1.8684E+04  2.2656E+04  2.2810E+03
0000351   1.5867E+04  1.9563E+04 -1.6513E+03
0000352   1.7293E+04  2.1203E+04 -3.3069E+03
0000353   1.8454E+04  1.8868E+04 -3.3114E+02
0000354   2.0476E+04  1.8915E+04  2.7335E+03
0000355   1.8914E+04  1.8815E+04  1.0661E+03
0000356   1.9475E+04  2.0938E+04  2.7339E+03
0000357   2.2950E+04  1.9032E+04 -7.2888E+02
0000358   1.7991E+04  1.9953E+04 -3.2751E+02
0000359   2.0510E+04  1.5815E+04  4.2671E+03
0000360   2.0911E+04  2.0352E+04  7.3659E+02
0000361   2.0630E+04  1.9197E+04 -1.0301E+03
0000362   2.0027E+04  1.7261E+04 -3.2106E+03
0000363   2.0909E+04  2.0005E+04  2.6014E+03
0000364   1.9346E+04  2.1617E+04 -1.7687E+03
0000365   2.2100E+04  1.9237E+04 -2.7418E+03
0000366   2.1204E+04  1.9450E+04  1.8144E+03
0000367   2.1412E+04  1.8380E+04 -2.2239E+03
0000368   2.4216E+04  1.5205E+04  2.6450E+03
0000369   1.8287E+04  1.9608E+04  2.0611E+03
0000370   1.9695E+04  2.0258E+04 -1.0801E+03
0000371   1.9797E+04  1.5019E+04  1.7272E+02
0000372   2.1210E+04  1.9509E+04  1.2221E+03
0000373   1.9180E+04  2.1522E+04  1.6496E+02
0000374   2.0469E+04  1.9760E+04 -9.6340E+01
0000375   2.0474E+04  1.6092E+04  9.3049E+02
0000376   2.0526E+04  1.8174E+04  1.1602E+03
0000377   1.9915E+04  2.1185E+04  2.2515E+03
0000378   1.9900E+04  1.8368E+04  2.3650E+03
0000379   1.6989E+04  2.1816E+04  9.2903E+02
0000380   2.0415E+04  1.9782E+04 -2.6926E+03
0000381   1.8713E+04  2.1722E+04 -2.8457E+03
0000382   1.8819E+04  2.2035E+04 -2.8859E+02
0000383   1.7779E+04  2.1735E+04  1.0174E+03
0000384   1.8203E+04  2.2846E+04  1.3584E+03
0000385   2.0589E+04  2.0256E+04  2.4391E+01
0000386   2.0374E+04  2.0687E+04 -1.5726E+03
0000387   1.9278E+04  2.1991E+04 -9.9332E+02
0000388   1.8936E+04  2.0677E+04  4.2468E+02
0000389   1.9830E+04  2.1283E+04 -6.1440E+02
0000390   1.8657E+04  1.8702E+04  2.8453E+02
0000391   1.6552E+04  2.4293E+04  7.2629E+02
0000392   1.9734E+04  2.0668E+04  3.7900E+01
0000393   1.9410E+04  2.1797E+04  1.7206E+03
0000394   1.5858E+04  2.1302E+04 -2.9797E+03
0000395   1.8256E+04  2.0616E+04 -5.7024E+03
0000396   1.9546E+04  1.8555E+04 -4.4057E+02
0000397   1.9557E+04  2.1232E+04 -1.4485E+03
0000398   1.8808E+04  2.2364E+04 -1.3569E+03
0000399   2.0676E+04  2.0875E+04 -1.3601E+03
0000400   2.1176E+04  1.9296E+04 -2.3735E+02
0000401   1.9276E+04  2.1411E+04  4.5725E+02
0000402   2.1944E+04  2.0548E+04  5.0300E+02
0000403   1.8563E+04  1.7450E+04  3.6311E+03
0000404   2.1763E+04  1.8816E+04  4.2123E+03
0000405   2.0446E+04  2.1898E+04  6.3097E+00
0000406   2.0414E+04  2.0974E+04  1.5212E+03
0000407   2.1165E+04  2.1023E+04  8.9032E+02
0000408   1.5185E+04  2.1337E+04 -1.7498E+02
0000409   2.3484E+04  1.7472E+04 -9.3378E+02
0000410   1.9853E+04  2.0956E+04  1.9625E+03
0000411   2.1698E+04  1.8173E+04 -2.0964E+03
0000412   2.3489E+04  1.9354E+04 -1.6546E+02
0000413   1.9993E+04  2.0546E+04 -5.4764E+02
0000414   1.5091E+04  2.3568E+04  1.9240E+03
0000415   1.9619E+04  2.2742E+04 -2.2132E+03
0000416   2.0847E+04  1.9019E+04  1.7132E+03
0000417   2.0824E+04  1.7875E+04 -2.4721E+03
0000418   1.8526E+04  2.3686E+04 -3.7775E+03
0000419   2.1946E+04  1.9288E+04 -1.1318E+03
0000420   1.7049E+04  1.6385E+04 -1.8477E+02
0000421   1.8896E+04  2.1197E+04 -3.3637E+03
0000422   2.1918E+04  1.7468E+04  1.4133E+03
0000423   2.0083E+04  2.1611E+04 -1.0595E+03
0000424   1.8486E+04  2.1937E+04 -1.3365E+02
0000425   2.1124E+04  2.1844E+04 -9.5916E+02
0000426   1.5936E+04  2.3271E+04  3.4606E+03
0000427   2.0279E+04  2.0133E+04  8.7329E+02
0000428   2.0593E+04  1.5783E+04  2.0929E+03
0000429   2.0373E+04  1.8732E+04  2.4567E+03
0000430   1.8158E+04  1.9831E+04 -5.9889E+03
0000431   2.2457E+04  1.8934E+04  1.0856E+02
0000432   2.1960E+04  2.1102E+04  9.0704E+02
0000433   1.9284E+04  1.6357E+04 -7.0577E+02
0000434   1.8093E+04  2.1878E+04 -1.5434E+03
0000435   1.4954E+04  2.2227E+04 -1.8442E+03
0000436   1.9458E+04  1.6549E+04  2.7926E+03
0000437   1.8893E+04  2.1833E+04 -9.5475E+02
0000438   1.6830E+04  2.3259E+04 -2.1509E+03
