Study Name	PremaTech_CVD_SiC_HeandSi
Sample Name	2025-11-01
Run Name	spot04
Operator	Keshav
Date	11/1/2025
Time	18:28
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	11
dt	50.000001E-12
time stamp (ms)	6:39:28 PM
	
Time	Amplitude
0.000000E+0	-2.158401E-4
5.000000E-11	-1.884329E-4
1.000000E-10	-1.730164E-4
1.500000E-10	-1.661646E-4
2.000000E-10	-1.713034E-4
2.500000E-10	-2.004236E-4
3.000000E-10	-2.535250E-4
3.500000E-10	-3.220430E-4
4.000000E-10	-3.991258E-4
4.500000E-10	-4.864862E-4
5.000000E-10	-5.738467E-4
5.500000E-10	-6.457906E-4
6.000000E-10	-7.057438E-4
6.500000E-10	-7.639841E-4
7.000000E-10	-8.136597E-4
7.500000E-10	-8.290762E-4
8.000000E-10	-8.016690E-4
8.500000E-10	-7.400028E-4
9.000000E-10	-6.560683E-4
9.500000E-10	-5.601431E-4
1.000000E-9	-4.590790E-4
1.050000E-9	-3.631538E-4
1.100000E-9	-2.757934E-4
1.150000E-9	-2.124142E-4
1.200000E-9	-1.798682E-4
1.250000E-9	-1.730164E-4
1.300000E-9	-1.935718E-4
1.350000E-9	-2.483862E-4
1.400000E-9	-3.237560E-4
1.450000E-9	-4.076905E-4
1.500000E-9	-4.984769E-4
1.550000E-9	-5.909762E-4
1.600000E-9	-6.543553E-4
1.650000E-9	-6.869014E-4
1.700000E-9	-6.783366E-4
1.750000E-9	-6.286611E-4
1.800000E-9	-5.498654E-4
1.850000E-9	-4.693567E-4
1.900000E-9	-3.854222E-4
1.950000E-9	-2.877840E-4
2.000000E-9	-2.004236E-4
2.050000E-9	-1.490351E-4
2.100000E-9	-1.319056E-4
2.150000E-9	-1.404703E-4
2.200000E-9	-1.815811E-4
2.250000E-9	-2.552380E-4
2.300000E-9	-3.443114E-4
2.350000E-9	-4.316718E-4
2.400000E-9	-4.967639E-4
2.450000E-9	-5.310229E-4
2.500000E-9	-5.395877E-4
2.550000E-9	-5.207452E-4
2.600000E-9	-4.659308E-4
2.650000E-9	-3.854222E-4
2.700000E-9	-2.946358E-4
2.750000E-9	-2.021365E-4
2.800000E-9	-1.164890E-4
2.850000E-9	-5.653575E-5
2.900000E-9	-2.741560E-5
2.950000E-9	-2.056380E-5
3.000000E-9	-4.111920E-5
3.050000E-9	-8.908180E-5
3.100000E-9	-1.370444E-4
3.150000E-9	-1.593128E-4
3.200000E-9	-1.558869E-4
3.250000E-9	-1.404703E-4
3.300000E-9	-1.199149E-4
3.350000E-9	-9.422065E-5
3.400000E-9	-6.510050E-5
3.450000E-9	-4.454510E-5
3.500000E-9	-3.255445E-5
3.550000E-9	-3.084150E-5
