Study Name	PremaTech_CVD_SiC_HeandSi
Sample Name	2025-11-01
Run Name	spot04
Operator	Keshav
Date	11/1/2025
Time	18:28
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	85
dt	50.000001E-12
time stamp (ms)	7:59:55 PM
	
Time	Amplitude
0.000000E+0	1.867315E-4
5.000000E-11	2.792308E-4
1.000000E-10	3.357582E-4
1.500000E-10	3.768690E-4
2.000000E-10	3.957114E-4
2.500000E-10	3.871467E-4
3.000000E-10	3.426100E-4
3.500000E-10	2.621013E-4
4.000000E-10	1.490466E-4
4.500000E-10	1.714946E-5
5.000000E-10	-1.250254E-4
5.500000E-10	-2.637744E-4
6.000000E-10	-3.819679E-4
6.500000E-10	-4.727543E-4
7.000000E-10	-5.207169E-4
7.500000E-10	-5.035874E-4
8.000000E-10	-4.093751E-4
8.500000E-10	-2.672003E-4
9.000000E-10	-1.164606E-4
9.500000E-10	3.941781E-5
1.000000E-9	2.072869E-4
1.050000E-9	3.511747E-4
1.100000E-9	4.505258E-4
1.150000E-9	5.070532E-4
1.200000E-9	5.276086E-4
1.250000E-9	5.002014E-4
1.300000E-9	4.351093E-4
1.350000E-9	3.477488E-4
1.400000E-9	2.329812E-4
1.450000E-9	9.080631E-5
1.500000E-9	-3.766494E-5
1.550000E-9	-1.404419E-4
1.600000E-9	-2.380801E-4
1.650000E-9	-3.083111E-4
1.700000E-9	-3.340053E-4
1.750000E-9	-3.340053E-4
1.800000E-9	-3.185888E-4
1.850000E-9	-2.894686E-4
1.900000E-9	-2.620614E-4
1.950000E-9	-2.397930E-4
2.000000E-9	-2.038211E-4
2.050000E-9	-1.678491E-4
2.100000E-9	-1.472937E-4
2.150000E-9	-1.353031E-4
2.200000E-9	-1.233124E-4
2.250000E-9	-1.164606E-4
2.300000E-9	-1.215995E-4
2.350000E-9	-1.215995E-4
2.400000E-9	-1.113218E-4
2.450000E-9	-8.220164E-5
2.500000E-9	-4.965559E-5
2.550000E-9	-1.025774E-5
2.600000E-9	4.113076E-5
2.650000E-9	9.594516E-5
2.700000E-9	1.456207E-4
2.750000E-9	1.867315E-4
2.800000E-9	2.107128E-4
2.850000E-9	1.952963E-4
2.900000E-9	1.524725E-4
2.950000E-9	9.937106E-5
3.000000E-9	2.400126E-5
3.050000E-9	-8.905344E-5
3.100000E-9	-2.158117E-4
3.150000E-9	-3.203017E-4
3.200000E-9	-4.179399E-4
3.250000E-9	-5.087262E-4
3.300000E-9	-5.652536E-4
3.350000E-9	-5.823831E-4
3.400000E-9	-5.618277E-4
3.450000E-9	-5.087262E-4
3.500000E-9	-4.282176E-4
3.550000E-9	-3.425701E-4
3.600000E-9	-2.586355E-4
