Study Name	Tungsten_Calibrayion
Sample Name	2025-10-10
Run Name	spot00
Operator	Keshav
Date	10/10/2025
Time	16:01
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	6
dt	50.000001E-12
time stamp (ms)	4:07:06 PM
	
Time	Amplitude
0.000000E+0	1.421997E-4
5.000000E-11	8.909828E-5
1.000000E-10	5.483928E-5
1.500000E-10	2.058028E-5
2.000000E-10	-1.196578E-5
2.500000E-10	-3.080823E-5
3.000000E-10	-5.821543E-5
3.500000E-10	-1.215946E-4
4.000000E-10	-1.935385E-4
4.500000E-10	-2.466399E-4
5.000000E-10	-2.997414E-4
5.500000E-10	-3.528428E-4
6.000000E-10	-3.819630E-4
6.500000E-10	-3.905277E-4
7.000000E-10	-4.042313E-4
7.500000E-10	-4.179349E-4
8.000000E-10	-3.922407E-4
8.500000E-10	-3.100191E-4
9.000000E-10	-1.815478E-4
9.500000E-10	-3.937298E-5
1.000000E-9	1.045148E-4
1.050000E-9	2.638192E-4
1.100000E-9	4.265494E-4
1.150000E-9	5.601595E-4
1.200000E-9	6.389552E-4
1.250000E-9	6.817790E-4
1.300000E-9	7.023344E-4
1.350000E-9	7.006214E-4
1.400000E-9	6.663624E-4
1.450000E-9	5.978444E-4
1.500000E-9	5.070581E-4
1.550000E-9	4.316883E-4
1.600000E-9	3.802998E-4
1.650000E-9	3.374760E-4
1.700000E-9	3.237724E-4
1.750000E-9	3.563185E-4
1.800000E-9	4.042811E-4
1.850000E-9	4.453919E-4
1.900000E-9	4.984933E-4
1.950000E-9	5.687243E-4
2.000000E-9	6.321034E-4
2.050000E-9	6.903437E-4
2.100000E-9	7.520099E-4
2.150000E-9	8.033984E-4
2.200000E-9	8.239538E-4
2.250000E-9	8.188150E-4
2.300000E-9	7.982596E-4
2.350000E-9	7.708524E-4
2.400000E-9	7.383063E-4
2.450000E-9	6.989085E-4
2.500000E-9	6.389552E-4
2.550000E-9	5.652984E-4
2.600000E-9	4.967804E-4
2.650000E-9	4.214106E-4
2.700000E-9	3.306242E-4
2.750000E-9	2.278472E-4
2.800000E-9	1.336350E-4
2.850000E-9	5.312633E-5
2.900000E-9	-6.826926E-6
2.950000E-9	-4.451183E-5
3.000000E-9	-4.622478E-5
3.050000E-9	-1.025283E-5
3.100000E-9	4.284863E-5
3.150000E-9	9.937598E-5
3.200000E-9	1.644681E-4
3.250000E-9	2.381249E-4
3.300000E-9	2.895134E-4
3.350000E-9	3.083559E-4
3.400000E-9	3.032170E-4
3.450000E-9	2.775228E-4
3.500000E-9	2.261343E-4
3.550000E-9	1.473386E-4
3.600000E-9	4.284863E-5
3.650000E-9	-8.562263E-5
3.700000E-9	-2.192327E-4
3.750000E-9	-3.425651E-4
3.800000E-9	-4.556198E-4
3.850000E-9	-5.344155E-4
3.900000E-9	-5.378414E-4
3.950000E-9	-4.847400E-4
4.000000E-9	-4.042313E-4
4.050000E-9	-2.894637E-4
4.100000E-9	-1.404370E-4
4.150000E-9	-1.688075E-6
4.200000E-9	1.079407E-4
4.250000E-9	2.021530E-4
4.300000E-9	2.895134E-4
4.350000E-9	3.443278E-4
4.400000E-9	3.597444E-4
4.450000E-9	3.511796E-4
4.500000E-9	3.254854E-4
4.550000E-9	2.758098E-4
4.600000E-9	2.107177E-4
4.650000E-9	1.541904E-4
4.700000E-9	1.010889E-4
4.750000E-9	4.456158E-5
4.800000E-9	-6.826926E-6
4.850000E-9	-3.937298E-5
4.900000E-9	-4.793773E-5
4.950000E-9	-3.252118E-5
5.000000E-9	1.715438E-5
5.050000E-9	8.567238E-5
5.100000E-9	1.593292E-4
5.150000E-9	2.278472E-4
5.200000E-9	2.843746E-4
5.250000E-9	3.237724E-4
5.300000E-9	3.374760E-4
5.350000E-9	3.117818E-4
5.400000E-9	2.535415E-4
5.450000E-9	1.935882E-4
5.500000E-9	1.387738E-4
5.550000E-9	6.511698E-5
5.600000E-9	-1.539168E-5
