grating_period_m, k_eff
1e-9, 0.0006836103877614716
1.251950097786831e-9, 0.0013670956180004677
1.5947072492786554e-9, 0.0013670956180004677
1.9964938966757807e-9, 0.0013670956180004677
2.565165573627174e-9, 0.0006836103877614716
3.2958123361590014e-9, 0.0013670956180004677
4.421570281845723e-9, 0.0020505808482394637
5.880809677942896e-9, 0.0034176764662399313
7.821638075093563e-9, 0.0034176764662399313
1.0313470776092802e-8, 0.004784772084240399
1.4826737394496542e-8, 0.006151742544718391
2.059078145801331e-8, 0.009569419010958322
2.786380054351454e-8, 0.012303485089436782
3.738127125417528e-8, 0.01708825717367718
4.9290308500307216e-8, 0.02392348494863457
6.278489073132061e-8, 0.03144232311135343
8.066823570865239e-8, 0.04101161696478928
1.0454495900305145e-7, 0.051948131593748066
1.3202117110519053e-7, 0.0669856827616633
1.6386157824728544e-7, 0.08407381477781802
1.9817611920158934e-7, 0.1011620719514952
2.3153233005837684e-7, 0.11551613788917144
2.635796708972302e-7, 0.1291865934390862
3.0006281581831683e-7, 0.14559124022500192
3.386558951520252e-7, 0.16199588701091763
3.922526087523836e-7, 0.17976762941483382
4.3889352932771045e-7, 0.1968557614309885
4.910810804457242e-7, 0.2146275038349047
5.542422923580993e-7, 0.23308273146905986
6.148085202262574e-7, 0.25085447387297605
6.879136104886862e-7, 0.26930970150713124
7.630871096260359e-7, 0.2884484143715254
8.538222238814258e-7, 0.30895422285392005
9.720032650242212e-7, 0.3328777078025546
0.0000011161462769550116, 0.35953525882966764
0.0000013040115490731826, 0.3889268759352591
0.000001497392026566555, 0.4176350078106116
0.0000017494270566935644, 0.44839372053420357
0.000002008857960044224, 0.47163365767383786
0.0000024086273134620903, 0.5017088225884296
0.0000030680555121144853, 0.5447710204014583
0.000004767427836533037, 0.6213260595953187
0.000006794723038224919, 0.6705399999530659
0.00000960075927760491, 0.7177033594625736
0.0000135656338090364, 0.7525632338826445
0.0000218209764291258, 0.7881066561117155
0.00003303961979681403, 0.8161312401780678
0.0000508982480046577, 0.8427887912051808
0.00007773503824243624, 0.8735475039287728
0.00011872188940570291, 0.9036227001327451
0.00018448102980003235, 0.9357484771849569
0.0002841970114868627, 0.9603554473638305
0.0004532110344414265, 0.9788106749979857
0.0007417225751763208, 0.9904306122784222
0.00128960215299946, 0.9972659026321408
0.0022037572659587517, 0.99863293567138
0.003606656480429791, 0.9993164834803803
0.005321151040684389, 1.0006835165196195
0.00707727674630336, 0.9999999999999999
0.00949467038357805, 1.0013670643286197
