	Length [m]	Value [°C]	
1	0.	515.19	
2	6.25e-008	515.09	
3	1.25e-007	514.99	
4	1.875e-007	514.88	
5	2.5e-007	514.78	
6	3.125e-007	514.68	
7	3.75e-007	514.58	
8	4.375e-007	514.48	
9	5.e-007	514.38	
10	5.625e-007	514.1	
11	6.25e-007	513.82	
12	6.875e-007	513.54	
13	7.5e-007	513.26	
14	8.125e-007	512.98	
15	8.75e-007	512.69	
16	9.375e-007	512.41	
17	1.e-006	512.13	
18	1.0625e-006	511.74	
19	1.125e-006	511.35	
20	1.1875e-006	510.95	
21	1.25e-006	510.56	
22	1.3125e-006	510.16	
23	1.375e-006	509.77	
24	1.4375e-006	509.37	
25	1.5e-006	508.98	
26	1.5625e-006	508.56	
27	1.625e-006	508.15	
28	1.6875e-006	507.73	
29	1.75e-006	507.32	
30	1.8125e-006	506.9	
31	1.875e-006	506.49	
32	1.9375e-006	506.07	
33	2.e-006	505.66	
34	2.0625e-006	505.32	
35	2.125e-006	504.98	
36	2.1875e-006	504.64	
37	2.25e-006	504.31	
38	2.3125e-006	503.97	
39	2.375e-006	503.63	
40	2.4375e-006	503.29	
41	2.5e-006	502.95	
42	2.5625e-006	502.77	
43	2.625e-006	502.59	
44	2.6875e-006	502.41	
45	2.75e-006	502.23	
46	2.8125e-006	502.05	
47	2.875e-006	501.87	
48	2.9375e-006	501.69	
49	3.e-006	501.51	
