	Length [m]	Value [°C]	
1	0.	524.13	
2	6.25e-008	523.97	
3	1.25e-007	523.8	
4	1.875e-007	523.63	
5	2.5e-007	523.47	
6	3.125e-007	523.3	
7	3.75e-007	523.13	
8	4.375e-007	522.97	
9	5.e-007	522.8	
10	5.625e-007	522.34	
11	6.25e-007	521.88	
12	6.875e-007	521.42	
13	7.5e-007	520.96	
14	8.125e-007	520.5	
15	8.75e-007	520.05	
16	9.375e-007	519.59	
17	1.e-006	519.13	
18	1.0625e-006	518.49	
19	1.125e-006	517.84	
20	1.1875e-006	517.2	
21	1.25e-006	516.56	
22	1.3125e-006	515.92	
23	1.375e-006	515.28	
24	1.4375e-006	514.64	
25	1.5e-006	513.99	
26	1.5625e-006	513.32	
27	1.625e-006	512.65	
28	1.6875e-006	511.98	
29	1.75e-006	511.31	
30	1.8125e-006	510.64	
31	1.875e-006	509.97	
32	1.9375e-006	509.29	
33	2.e-006	508.62	
34	2.0625e-006	508.08	
35	2.125e-006	507.54	
36	2.1875e-006	506.99	
37	2.25e-006	506.45	
38	2.3125e-006	505.91	
39	2.375e-006	505.36	
40	2.4375e-006	504.82	
41	2.5e-006	504.28	
42	2.5625e-006	503.99	
43	2.625e-006	503.7	
44	2.6875e-006	503.41	
45	2.75e-006	503.12	
46	2.8125e-006	502.83	
47	2.875e-006	502.55	
48	2.9375e-006	502.26	
49	3.e-006	501.97	
