,Length [m],Value [°C]
1,0,509.58
2,6.25E-08,509.52
3,1.25E-07,509.46
4,1.88E-07,509.39
5,2.50E-07,509.33
6,3.13E-07,509.27
7,3.75E-07,509.21
8,4.38E-07,509.14
9,5.00E-07,509.08
10,5.63E-07,508.91
11,6.25E-07,508.74
12,6.88E-07,508.56
13,7.50E-07,508.39
14,8.13E-07,508.22
15,8.75E-07,508.04
16,9.38E-07,507.87
17,1.00E-06,507.7
18,1.06E-06,507.46
19,1.13E-06,507.21
20,1.19E-06,506.97
21,1.25E-06,506.72
22,1.31E-06,506.48
23,1.38E-06,506.24
24,1.44E-06,505.99
25,1.50E-06,505.75
26,1.56E-06,505.49
27,1.63E-06,505.24
28,1.69E-06,504.98
29,1.75E-06,504.72
30,1.81E-06,504.46
31,1.88E-06,504.21
32,1.94E-06,503.95
33,2.00E-06,503.69
34,2.06E-06,503.48
35,2.13E-06,503.27
36,2.19E-06,503.06
37,2.25E-06,502.85
38,2.31E-06,502.64
39,2.38E-06,502.43
40,2.44E-06,502.22
41,2.50E-06,502.01
42,2.56E-06,501.9
43,2.63E-06,501.79
44,2.69E-06,501.68
45,2.75E-06,501.56
46,2.81E-06,501.45
47,2.88E-06,501.34
48,2.94E-06,501.23
49,3.00E-06,501.11
