,Length [m],Value [°C]
1,0,524.92
2,6.25E-08,524.75
3,1.25E-07,524.58
4,1.88E-07,524.4
5,2.50E-07,524.23
6,3.13E-07,524.06
7,3.75E-07,523.89
8,4.38E-07,523.72
9,5.00E-07,523.54
10,5.63E-07,523.07
11,6.25E-07,522.59
12,6.88E-07,522.12
13,7.50E-07,521.64
14,8.13E-07,521.17
15,8.75E-07,520.69
16,9.38E-07,520.22
17,1.00E-06,519.74
18,1.06E-06,519.08
19,1.13E-06,518.41
20,1.19E-06,517.75
21,1.25E-06,517.09
22,1.31E-06,516.42
23,1.38E-06,515.76
24,1.44E-06,515.09
25,1.50E-06,514.43
26,1.56E-06,513.74
27,1.63E-06,513.04
28,1.69E-06,512.35
29,1.75E-06,511.66
30,1.81E-06,510.96
31,1.88E-06,510.27
32,1.94E-06,509.57
33,2.00E-06,508.88
34,2.06E-06,508.32
35,2.13E-06,507.76
36,2.19E-06,507.2
37,2.25E-06,506.63
38,2.31E-06,506.07
39,2.38E-06,505.51
40,2.44E-06,504.95
41,2.50E-06,504.39
42,2.56E-06,504.09
43,2.63E-06,503.8
44,2.69E-06,503.5
45,2.75E-06,503.2
46,2.81E-06,502.9
47,2.88E-06,502.6
48,2.94E-06,502.31
49,3.00E-06,502.01
