,Length [m],Value [°C]
1,0,41.807
2,6.25E-08,41.693
3,1.25E-07,41.579
4,1.88E-07,41.465
5,2.50E-07,41.352
6,3.13E-07,41.238
7,3.75E-07,41.124
8,4.38E-07,41.01
9,5.00E-07,40.897
10,5.63E-07,40.582
11,6.25E-07,40.268
12,6.88E-07,39.953
13,7.50E-07,39.639
14,8.13E-07,39.325
15,8.75E-07,39.01
16,9.38E-07,38.696
17,1.00E-06,38.381
18,1.06E-06,37.94
19,1.13E-06,37.499
20,1.19E-06,37.059
21,1.25E-06,36.618
22,1.31E-06,36.177
23,1.38E-06,35.736
24,1.44E-06,35.295
25,1.50E-06,34.854
26,1.56E-06,34.39
27,1.63E-06,33.927
28,1.69E-06,33.464
29,1.75E-06,33
30,1.81E-06,32.537
31,1.88E-06,32.074
32,1.94E-06,31.61
33,2.00E-06,31.147
34,2.06E-06,30.77
35,2.13E-06,30.393
36,2.19E-06,30.017
37,2.25E-06,29.64
38,2.31E-06,29.263
39,2.38E-06,28.886
40,2.44E-06,28.51
41,2.50E-06,28.133
42,2.56E-06,27.932
43,2.63E-06,27.73
44,2.69E-06,27.529
45,2.75E-06,27.328
46,2.81E-06,27.126
47,2.88E-06,26.925
48,2.94E-06,26.724
49,3.00E-06,26.522
