,Length [m],Value [°C]
1,0,557.07
2,6.25E-08,556.67
3,1.25E-07,556.27
4,1.88E-07,555.87
5,2.50E-07,555.47
6,3.13E-07,555.07
7,3.75E-07,554.67
8,4.38E-07,554.27
9,5.00E-07,553.87
10,5.63E-07,552.76
11,6.25E-07,551.65
12,6.88E-07,550.54
13,7.50E-07,549.44
14,8.13E-07,548.33
15,8.75E-07,547.22
16,9.38E-07,546.11
17,1.00E-06,545
18,1.06E-06,543.44
19,1.13E-06,541.88
20,1.19E-06,540.32
21,1.25E-06,538.76
22,1.31E-06,537.2
23,1.38E-06,535.64
24,1.44E-06,534.08
25,1.50E-06,532.51
26,1.56E-06,530.86
27,1.63E-06,529.21
28,1.69E-06,527.56
29,1.75E-06,525.91
30,1.81E-06,524.26
31,1.88E-06,522.61
32,1.94E-06,520.96
33,2.00E-06,519.31
34,2.06E-06,517.97
35,2.13E-06,516.62
36,2.19E-06,515.27
37,2.25E-06,513.93
38,2.31E-06,512.58
39,2.38E-06,511.24
40,2.44E-06,509.89
41,2.50E-06,508.54
42,2.56E-06,507.82
43,2.63E-06,507.1
44,2.69E-06,506.39
45,2.75E-06,505.67
46,2.81E-06,504.95
47,2.88E-06,504.23
48,2.94E-06,503.51
49,3.00E-06,502.79
