,Length [m],Value [°C]
1,0,508.54
2,6.25E-08,508.48
3,1.25E-07,508.42
4,1.88E-07,508.36
5,2.50E-07,508.31
6,3.13E-07,508.25
7,3.75E-07,508.19
8,4.38E-07,508.13
9,5.00E-07,508.08
10,5.63E-07,507.92
11,6.25E-07,507.76
12,6.88E-07,507.6
13,7.50E-07,507.44
14,8.13E-07,507.28
15,8.75E-07,507.11
16,9.38E-07,506.95
17,1.00E-06,506.79
18,1.06E-06,506.57
19,1.13E-06,506.34
20,1.19E-06,506.12
21,1.25E-06,505.89
22,1.31E-06,505.66
23,1.38E-06,505.44
24,1.44E-06,505.21
25,1.50E-06,504.98
26,1.56E-06,504.74
27,1.63E-06,504.51
28,1.69E-06,504.27
29,1.75E-06,504.03
30,1.81E-06,503.79
31,1.88E-06,503.55
32,1.94E-06,503.31
33,2.00E-06,503.07
34,2.06E-06,502.87
35,2.13E-06,502.67
36,2.19E-06,502.48
37,2.25E-06,502.28
38,2.31E-06,502.09
39,2.38E-06,501.89
40,2.44E-06,501.69
41,2.50E-06,501.5
42,2.56E-06,501.39
43,2.63E-06,501.29
44,2.69E-06,501.18
45,2.75E-06,501.08
46,2.81E-06,500.97
47,2.88E-06,500.87
48,2.94E-06,500.76
49,3.00E-06,500.66
