,Length [m],Value [°C]
1,0,575.64
2,2.08E-08,574.77
3,4.17E-08,572.53
4,6.25E-08,569.32
5,8.33E-08,565.52
6,1.04E-07,561.3
7,1.25E-07,556.93
8,1.46E-07,552.53
9,1.67E-07,548.21
10,1.88E-07,544.05
11,2.08E-07,540.1
12,2.29E-07,536.39
13,2.50E-07,532.94
14,2.71E-07,529.73
15,2.92E-07,526.75
16,3.13E-07,524.09
17,3.33E-07,521.65
18,3.54E-07,519.38
19,3.75E-07,517.4
20,3.96E-07,515.58
21,4.17E-07,513.92
22,4.38E-07,512.47
23,4.58E-07,511.1
24,4.79E-07,509.96
25,5.00E-07,508.85
26,5.21E-07,507.93
27,5.42E-07,507.05
28,5.63E-07,506.31
29,5.83E-07,505.62
30,6.04E-07,505.01
31,6.25E-07,504.48
32,6.46E-07,503.96
33,6.67E-07,503.56
34,6.88E-07,503.16
35,7.08E-07,502.81
36,7.29E-07,502.52
37,7.50E-07,502.23
38,7.71E-07,501.99
39,7.92E-07,501.79
40,8.13E-07,501.58
41,8.33E-07,501.41
42,8.54E-07,501.27
43,8.75E-07,501.12
44,8.96E-07,500.99
45,9.17E-07,500.9
46,9.38E-07,500.8
47,9.58E-07,500.7
48,9.79E-07,500.63
49,1.00E-06,500.57
