	Length [m]	Value [°C]	
1	0.	507.13	
2	2.0833e-008	507.13	
3	4.1667e-008	507.13	
4	6.25e-008	507.12	
5	8.3333e-008	507.1	
6	1.0417e-007	507.09	
7	1.25e-007	507.06	
8	1.4583e-007	507.04	
9	1.6667e-007	507.01	
10	1.875e-007	506.97	
11	2.0833e-007	506.94	
12	2.2917e-007	506.89	
13	2.5e-007	506.85	
14	2.7083e-007	506.8	
15	2.9167e-007	506.75	
16	3.125e-007	506.7	
17	3.3333e-007	506.64	
18	3.5417e-007	506.58	
19	3.75e-007	506.52	
20	3.9583e-007	506.45	
21	4.1667e-007	506.39	
22	4.375e-007	506.32	
23	4.5833e-007	506.25	
24	4.7917e-007	506.18	
25	5.e-007	506.11	
26	5.2083e-007	506.03	
27	5.4167e-007	505.96	
28	5.625e-007	505.89	
29	5.8333e-007	505.81	
30	6.0417e-007	505.73	
31	6.25e-007	505.65	
32	6.4583e-007	505.58	
33	6.6667e-007	505.5	
34	6.875e-007	505.42	
35	7.0833e-007	505.34	
36	7.2917e-007	505.26	
37	7.5e-007	505.18	
38	7.7083e-007	505.11	
39	7.9167e-007	505.03	
40	8.125e-007	504.95	
41	8.3333e-007	504.87	
42	8.5417e-007	504.8	
43	8.75e-007	504.72	
44	8.9583e-007	504.64	
45	9.1667e-007	504.57	
46	9.375e-007	504.49	
47	9.5833e-007	504.42	
48	9.7917e-007	504.35	
49	1.e-006	504.27	
