	Length [m]	Value [°C]	
1	0.	548.76	
2	6.25e-008	548.42	
3	1.25e-007	548.07	
4	1.875e-007	547.73	
5	2.5e-007	547.39	
6	3.125e-007	547.05	
7	3.75e-007	546.71	
8	4.375e-007	546.37	
9	5.e-007	546.03	
10	5.625e-007	545.09	
11	6.25e-007	544.14	
12	6.875e-007	543.2	
13	7.5e-007	542.25	
14	8.125e-007	541.31	
15	8.75e-007	540.36	
16	9.375e-007	539.42	
17	1.e-006	538.47	
18	1.0625e-006	537.14	
19	1.125e-006	535.81	
20	1.1875e-006	534.48	
21	1.25e-006	533.15	
22	1.3125e-006	531.82	
23	1.375e-006	530.49	
24	1.4375e-006	529.15	
25	1.5e-006	527.82	
26	1.5625e-006	526.41	
27	1.625e-006	525.01	
28	1.6875e-006	523.6	
29	1.75e-006	522.19	
30	1.8125e-006	520.78	
31	1.875e-006	519.37	
32	1.9375e-006	517.96	
33	2.e-006	516.56	
34	2.0625e-006	515.41	
35	2.125e-006	514.26	
36	2.1875e-006	513.11	
37	2.25e-006	511.96	
38	2.3125e-006	510.81	
39	2.375e-006	509.66	
40	2.4375e-006	508.5	
41	2.5e-006	507.35	
42	2.5625e-006	506.74	
43	2.625e-006	506.13	
44	2.6875e-006	505.51	
45	2.75e-006	504.9	
46	2.8125e-006	504.28	
47	2.875e-006	503.67	
48	2.9375e-006	503.05	
49	3.e-006	502.44	
