	Length [m]	Value [°C]	
1	0.	36.811	
2	6.25e-008	36.731	
3	1.25e-007	36.651	
4	1.875e-007	36.571	
5	2.5e-007	36.492	
6	3.125e-007	36.412	
7	3.75e-007	36.332	
8	4.375e-007	36.252	
9	5.e-007	36.172	
10	5.625e-007	35.951	
11	6.25e-007	35.729	
12	6.875e-007	35.508	
13	7.5e-007	35.286	
14	8.125e-007	35.065	
15	8.75e-007	34.843	
16	9.375e-007	34.622	
17	1.e-006	34.401	
18	1.0625e-006	34.088	
19	1.125e-006	33.776	
20	1.1875e-006	33.464	
21	1.25e-006	33.152	
22	1.3125e-006	32.839	
23	1.375e-006	32.527	
24	1.4375e-006	32.215	
25	1.5e-006	31.903	
26	1.5625e-006	31.572	
27	1.625e-006	31.242	
28	1.6875e-006	30.912	
29	1.75e-006	30.581	
30	1.8125e-006	30.251	
31	1.875e-006	29.92	
32	1.9375e-006	29.59	
33	2.e-006	29.26	
34	2.0625e-006	28.989	
35	2.125e-006	28.719	
36	2.1875e-006	28.449	
37	2.25e-006	28.179	
38	2.3125e-006	27.908	
39	2.375e-006	27.638	
40	2.4375e-006	27.368	
41	2.5e-006	27.098	
42	2.5625e-006	26.953	
43	2.625e-006	26.808	
44	2.6875e-006	26.663	
45	2.75e-006	26.518	
46	2.8125e-006	26.373	
47	2.875e-006	26.228	
48	2.9375e-006	26.083	
49	3.e-006	25.938	
