,Length [m],Value [°C]
1,0,43.155
2,6.25E-08,43.032
3,1.25E-07,42.908
4,1.88E-07,42.785
5,2.50E-07,42.662
6,3.13E-07,42.538
7,3.75E-07,42.415
8,4.38E-07,42.292
9,5.00E-07,42.168
10,5.63E-07,41.828
11,6.25E-07,41.487
12,6.88E-07,41.146
13,7.50E-07,40.806
14,8.13E-07,40.465
15,8.75E-07,40.125
16,9.38E-07,39.784
17,1.00E-06,39.443
18,1.06E-06,38.967
19,1.13E-06,38.49
20,1.19E-06,38.013
21,1.25E-06,37.536
22,1.31E-06,37.06
23,1.38E-06,36.583
24,1.44E-06,36.106
25,1.50E-06,35.629
26,1.56E-06,35.129
27,1.63E-06,34.63
28,1.69E-06,34.13
29,1.75E-06,33.63
30,1.81E-06,33.13
31,1.88E-06,32.63
32,1.94E-06,32.13
33,2.00E-06,31.631
34,2.06E-06,31.225
35,2.13E-06,30.82
36,2.19E-06,30.414
37,2.25E-06,30.009
38,2.31E-06,29.603
39,2.38E-06,29.198
40,2.44E-06,28.792
41,2.50E-06,28.387
42,2.56E-06,28.17
43,2.63E-06,27.954
44,2.69E-06,27.737
45,2.75E-06,27.521
46,2.81E-06,27.305
47,2.88E-06,27.088
48,2.94E-06,26.872
49,3.00E-06,26.655
