,Length [m],Value [°C]
1,0,525.29
2,6.25E-08,525.12
3,1.25E-07,524.94
4,1.88E-07,524.77
5,2.50E-07,524.59
6,3.13E-07,524.42
7,3.75E-07,524.24
8,4.38E-07,524.07
9,5.00E-07,523.89
10,5.63E-07,523.41
11,6.25E-07,522.93
12,6.88E-07,522.45
13,7.50E-07,521.96
14,8.13E-07,521.48
15,8.75E-07,521
16,9.38E-07,520.52
17,1.00E-06,520.03
18,1.06E-06,519.36
19,1.13E-06,518.69
20,1.19E-06,518.01
21,1.25E-06,517.34
22,1.31E-06,516.66
23,1.38E-06,515.99
24,1.44E-06,515.32
25,1.50E-06,514.64
26,1.56E-06,513.94
27,1.63E-06,513.23
28,1.69E-06,512.53
29,1.75E-06,511.82
30,1.81E-06,511.12
31,1.88E-06,510.42
32,1.94E-06,509.71
33,2.00E-06,509.01
34,2.06E-06,508.44
35,2.13E-06,507.87
36,2.19E-06,507.3
37,2.25E-06,506.73
38,2.31E-06,506.16
39,2.38E-06,505.59
40,2.44E-06,505.02
41,2.50E-06,504.45
42,2.56E-06,504.15
43,2.63E-06,503.85
44,2.69E-06,503.55
45,2.75E-06,503.24
46,2.81E-06,502.94
47,2.88E-06,502.64
48,2.94E-06,502.34
49,3.00E-06,502.04
