	Length [m]	Value [°C]	
1	0.	520.2	
2	2.0833e-008	520.2	
3	4.1667e-008	520.16	
4	6.25e-008	520.04	
5	8.3333e-008	519.86	
6	1.0417e-007	519.62	
7	1.25e-007	519.33	
8	1.4583e-007	519.	
9	1.6667e-007	518.62	
10	1.875e-007	518.2	
11	2.0833e-007	517.76	
12	2.2917e-007	517.3	
13	2.5e-007	516.82	
14	2.7083e-007	516.32	
15	2.9167e-007	515.82	
16	3.125e-007	515.31	
17	3.3333e-007	514.8	
18	3.5417e-007	514.29	
19	3.75e-007	513.79	
20	3.9583e-007	513.3	
21	4.1667e-007	512.81	
22	4.375e-007	512.33	
23	4.5833e-007	511.86	
24	4.7917e-007	511.4	
25	5.e-007	510.96	
26	5.2083e-007	510.53	
27	5.4167e-007	510.11	
28	5.625e-007	509.7	
29	5.8333e-007	509.31	
30	6.0417e-007	508.93	
31	6.25e-007	508.57	
32	6.4583e-007	508.21	
33	6.6667e-007	507.88	
34	6.875e-007	507.55	
35	7.0833e-007	507.23	
36	7.2917e-007	506.93	
37	7.5e-007	506.64	
38	7.7083e-007	506.36	
39	7.9167e-007	506.1	
40	8.125e-007	505.83	
41	8.3333e-007	505.59	
42	8.5417e-007	505.36	
43	8.75e-007	505.13	
44	8.9583e-007	504.9	
45	9.1667e-007	504.7	
46	9.375e-007	504.5	
47	9.5833e-007	504.3	
48	9.7917e-007	504.13	
49	1.e-006	503.95	
