,Length [m],Value [°C]
1,0,504.65
2,2.08E-08,504.65
3,4.17E-08,504.65
4,6.25E-08,504.65
5,8.33E-08,504.64
6,1.04E-07,504.64
7,1.25E-07,504.63
8,1.46E-07,504.63
9,1.67E-07,504.62
10,1.88E-07,504.61
11,2.08E-07,504.6
12,2.29E-07,504.59
13,2.50E-07,504.58
14,2.71E-07,504.57
15,2.92E-07,504.55
16,3.13E-07,504.54
17,3.33E-07,504.53
18,3.54E-07,504.51
19,3.75E-07,504.5
20,3.96E-07,504.48
21,4.17E-07,504.46
22,4.38E-07,504.44
23,4.58E-07,504.42
24,4.79E-07,504.4
25,5.00E-07,504.38
26,5.21E-07,504.36
27,5.42E-07,504.34
28,5.63E-07,504.32
29,5.83E-07,504.3
30,6.04E-07,504.27
31,6.25E-07,504.25
32,6.46E-07,504.23
33,6.67E-07,504.2
34,6.88E-07,504.18
35,7.08E-07,504.15
36,7.29E-07,504.13
37,7.50E-07,504.1
38,7.71E-07,504.07
39,7.92E-07,504.05
40,8.13E-07,504.02
41,8.33E-07,503.99
42,8.54E-07,503.97
43,8.75E-07,503.94
44,8.96E-07,503.91
45,9.17E-07,503.88
46,9.38E-07,503.85
47,9.58E-07,503.83
48,9.79E-07,503.8
49,1.00E-06,503.77
