	Length [m]	Value [°C]	
1	0.	575.64	
2	2.0833e-008	574.77	
3	4.1667e-008	572.53	
4	6.25e-008	569.32	
5	8.3333e-008	565.52	
6	1.0417e-007	561.3	
7	1.25e-007	556.93	
8	1.4583e-007	552.53	
9	1.6667e-007	548.21	
10	1.875e-007	544.05	
11	2.0833e-007	540.1	
12	2.2917e-007	536.39	
13	2.5e-007	532.94	
14	2.7083e-007	529.73	
15	2.9167e-007	526.75	
16	3.125e-007	524.09	
17	3.3333e-007	521.65	
18	3.5417e-007	519.38	
19	3.75e-007	517.4	
20	3.9583e-007	515.58	
21	4.1667e-007	513.92	
22	4.375e-007	512.47	
23	4.5833e-007	511.1	
24	4.7917e-007	509.96	
25	5.e-007	508.85	
26	5.2083e-007	507.93	
27	5.4167e-007	507.05	
28	5.625e-007	506.31	
29	5.8333e-007	505.62	
30	6.0417e-007	505.01	
31	6.25e-007	504.48	
32	6.4583e-007	503.96	
33	6.6667e-007	503.56	
34	6.875e-007	503.16	
35	7.0833e-007	502.81	
36	7.2917e-007	502.52	
37	7.5e-007	502.23	
38	7.7083e-007	501.99	
39	7.9167e-007	501.79	
40	8.125e-007	501.58	
41	8.3333e-007	501.41	
42	8.5417e-007	501.27	
43	8.75e-007	501.12	
44	8.9583e-007	500.99	
45	9.1667e-007	500.9	
46	9.375e-007	500.8	
47	9.5833e-007	500.7	
48	9.7917e-007	500.63	
49	1.e-006	500.57	
