	Length [m]	Value [°C]	
1	0.	525.29	
2	6.25e-008	525.12	
3	1.25e-007	524.94	
4	1.875e-007	524.77	
5	2.5e-007	524.59	
6	3.125e-007	524.42	
7	3.75e-007	524.24	
8	4.375e-007	524.07	
9	5.e-007	523.89	
10	5.625e-007	523.41	
11	6.25e-007	522.93	
12	6.875e-007	522.45	
13	7.5e-007	521.96	
14	8.125e-007	521.48	
15	8.75e-007	521.	
16	9.375e-007	520.52	
17	1.e-006	520.03	
18	1.0625e-006	519.36	
19	1.125e-006	518.69	
20	1.1875e-006	518.01	
21	1.25e-006	517.34	
22	1.3125e-006	516.66	
23	1.375e-006	515.99	
24	1.4375e-006	515.32	
25	1.5e-006	514.64	
26	1.5625e-006	513.94	
27	1.625e-006	513.23	
28	1.6875e-006	512.53	
29	1.75e-006	511.82	
30	1.8125e-006	511.12	
31	1.875e-006	510.42	
32	1.9375e-006	509.71	
33	2.e-006	509.01	
34	2.0625e-006	508.44	
35	2.125e-006	507.87	
36	2.1875e-006	507.3	
37	2.25e-006	506.73	
38	2.3125e-006	506.16	
39	2.375e-006	505.59	
40	2.4375e-006	505.02	
41	2.5e-006	504.45	
42	2.5625e-006	504.15	
43	2.625e-006	503.85	
44	2.6875e-006	503.55	
45	2.75e-006	503.24	
46	2.8125e-006	502.94	
47	2.875e-006	502.64	
48	2.9375e-006	502.34	
49	3.e-006	502.04	
