	Length [m]	Value [°C]	
1	0.	525.29	
2	2.0833e-008	525.28	
3	4.1667e-008	525.18	
4	6.25e-008	525.	
5	8.3333e-008	524.75	
6	1.0417e-007	524.42	
7	1.25e-007	524.03	
8	1.4583e-007	523.58	
9	1.6667e-007	523.09	
10	1.875e-007	522.54	
11	2.0833e-007	521.96	
12	2.2917e-007	521.34	
13	2.5e-007	520.7	
14	2.7083e-007	520.05	
15	2.9167e-007	519.38	
16	3.125e-007	518.69	
17	3.3333e-007	518.01	
18	3.5417e-007	517.32	
19	3.75e-007	516.64	
20	3.9583e-007	515.97	
21	4.1667e-007	515.3	
22	4.375e-007	514.64	
23	4.5833e-007	513.99	
24	4.7917e-007	513.37	
25	5.e-007	512.75	
26	5.2083e-007	512.16	
27	5.4167e-007	511.58	
28	5.625e-007	511.02	
29	5.8333e-007	510.48	
30	6.0417e-007	509.96	
31	6.25e-007	509.46	
32	6.4583e-007	508.97	
33	6.6667e-007	508.52	
34	6.875e-007	508.07	
35	7.0833e-007	507.64	
36	7.2917e-007	507.24	
37	7.5e-007	506.84	
38	7.7083e-007	506.48	
39	7.9167e-007	506.13	
40	8.125e-007	505.78	
41	8.3333e-007	505.46	
42	8.5417e-007	505.17	
43	8.75e-007	504.87	
44	8.9583e-007	504.59	
45	9.1667e-007	504.34	
46	9.375e-007	504.09	
47	9.5833e-007	503.84	
48	9.7917e-007	503.63	
49	1.e-006	503.42	
