,Length [m],Value [°C]
1,0,520.2
2,2.08E-08,520.2
3,4.17E-08,520.16
4,6.25E-08,520.04
5,8.33E-08,519.86
6,1.04E-07,519.62
7,1.25E-07,519.33
8,1.46E-07,519
9,1.67E-07,518.62
10,1.88E-07,518.2
11,2.08E-07,517.76
12,2.29E-07,517.3
13,2.50E-07,516.82
14,2.71E-07,516.32
15,2.92E-07,515.82
16,3.13E-07,515.31
17,3.33E-07,514.8
18,3.54E-07,514.29
19,3.75E-07,513.79
20,3.96E-07,513.3
21,4.17E-07,512.81
22,4.38E-07,512.33
23,4.58E-07,511.86
24,4.79E-07,511.4
25,5.00E-07,510.96
26,5.21E-07,510.53
27,5.42E-07,510.11
28,5.63E-07,509.7
29,5.83E-07,509.31
30,6.04E-07,508.93
31,6.25E-07,508.57
32,6.46E-07,508.21
33,6.67E-07,507.88
34,6.88E-07,507.55
35,7.08E-07,507.23
36,7.29E-07,506.93
37,7.50E-07,506.64
38,7.71E-07,506.36
39,7.92E-07,506.1
40,8.13E-07,505.83
41,8.33E-07,505.59
42,8.54E-07,505.36
43,8.75E-07,505.13
44,8.96E-07,504.9
45,9.17E-07,504.7
46,9.38E-07,504.5
47,9.58E-07,504.3
48,9.79E-07,504.13
49,1.00E-06,503.95
