	Length [m]	Value [°C]	
1	0.	509.58	
2	6.25e-008	509.52	
3	1.25e-007	509.46	
4	1.875e-007	509.39	
5	2.5e-007	509.33	
6	3.125e-007	509.27	
7	3.75e-007	509.21	
8	4.375e-007	509.14	
9	5.e-007	509.08	
10	5.625e-007	508.91	
11	6.25e-007	508.74	
12	6.875e-007	508.56	
13	7.5e-007	508.39	
14	8.125e-007	508.22	
15	8.75e-007	508.04	
16	9.375e-007	507.87	
17	1.e-006	507.7	
18	1.0625e-006	507.46	
19	1.125e-006	507.21	
20	1.1875e-006	506.97	
21	1.25e-006	506.72	
22	1.3125e-006	506.48	
23	1.375e-006	506.24	
24	1.4375e-006	505.99	
25	1.5e-006	505.75	
26	1.5625e-006	505.49	
27	1.625e-006	505.24	
28	1.6875e-006	504.98	
29	1.75e-006	504.72	
30	1.8125e-006	504.46	
31	1.875e-006	504.21	
32	1.9375e-006	503.95	
33	2.e-006	503.69	
34	2.0625e-006	503.48	
35	2.125e-006	503.27	
36	2.1875e-006	503.06	
37	2.25e-006	502.85	
38	2.3125e-006	502.64	
39	2.375e-006	502.43	
40	2.4375e-006	502.22	
41	2.5e-006	502.01	
42	2.5625e-006	501.9	
43	2.625e-006	501.79	
44	2.6875e-006	501.68	
45	2.75e-006	501.56	
46	2.8125e-006	501.45	
47	2.875e-006	501.34	
48	2.9375e-006	501.23	
49	3.e-006	501.11	
