	Length [m]	Value [°C]	
1	0.	600.68	
2	2.0833e-008	599.49	
3	4.1667e-008	592.45	
4	6.25e-008	582.83	
5	8.3333e-008	572.47	
6	1.0417e-007	562.39	
7	1.25e-007	553.07	
8	1.4583e-007	544.73	
9	1.6667e-007	537.46	
10	1.875e-007	531.23	
11	2.0833e-007	525.97	
12	2.2917e-007	521.56	
13	2.5e-007	517.85	
14	2.7083e-007	514.73	
15	2.9167e-007	512.08	
16	3.125e-007	510.02	
17	3.3333e-007	508.27	
18	3.5417e-007	506.76	
19	3.75e-007	505.61	
20	3.9583e-007	504.61	
21	4.1667e-007	503.78	
22	4.375e-007	503.14	
23	4.5833e-007	502.56	
24	4.7917e-007	502.13	
25	5.e-007	501.73	
26	5.2083e-007	501.44	
27	5.4167e-007	501.18	
28	5.625e-007	500.98	
29	5.8333e-007	500.8	
30	6.0417e-007	500.66	
31	6.25e-007	500.55	
32	6.4583e-007	500.44	
33	6.6667e-007	500.37	
34	6.875e-007	500.3	
35	7.0833e-007	500.25	
36	7.2917e-007	500.21	
37	7.5e-007	500.17	
38	7.7083e-007	500.14	
39	7.9167e-007	500.12	
40	8.125e-007	500.09	
41	8.3333e-007	500.08	
42	8.5417e-007	500.07	
43	8.75e-007	500.05	
44	8.9583e-007	500.04	
45	9.1667e-007	500.04	
46	9.375e-007	500.03	
47	9.5833e-007	500.02	
48	9.7917e-007	500.02	
49	1.e-006	500.02	
