	Length [m]	Value [°C]	
1	0.	38.517	
2	6.25e-008	38.426	
3	1.25e-007	38.335	
4	1.875e-007	38.244	
5	2.5e-007	38.153	
6	3.125e-007	38.062	
7	3.75e-007	37.97	
8	4.375e-007	37.879	
9	5.e-007	37.788	
10	5.625e-007	37.536	
11	6.25e-007	37.283	
12	6.875e-007	37.031	
13	7.5e-007	36.778	
14	8.125e-007	36.526	
15	8.75e-007	36.273	
16	9.375e-007	36.02	
17	1.e-006	35.768	
18	1.0625e-006	35.412	
19	1.125e-006	35.057	
20	1.1875e-006	34.701	
21	1.25e-006	34.346	
22	1.3125e-006	33.99	
23	1.375e-006	33.635	
24	1.4375e-006	33.279	
25	1.5e-006	32.924	
26	1.5625e-006	32.549	
27	1.625e-006	32.173	
28	1.6875e-006	31.798	
29	1.75e-006	31.422	
30	1.8125e-006	31.047	
31	1.875e-006	30.672	
32	1.9375e-006	30.296	
33	2.e-006	29.921	
34	2.0625e-006	29.615	
35	2.125e-006	29.308	
36	2.1875e-006	29.002	
37	2.25e-006	28.695	
38	2.3125e-006	28.389	
39	2.375e-006	28.082	
40	2.4375e-006	27.776	
41	2.5e-006	27.469	
42	2.5625e-006	27.305	
43	2.625e-006	27.141	
44	2.6875e-006	26.976	
45	2.75e-006	26.812	
46	2.8125e-006	26.648	
47	2.875e-006	26.484	
48	2.9375e-006	26.319	
49	3.e-006	26.155	
