	Length [m]	Value [°C]	
1	0.	504.65	
2	2.0833e-008	504.65	
3	4.1667e-008	504.65	
4	6.25e-008	504.65	
5	8.3333e-008	504.64	
6	1.0417e-007	504.64	
7	1.25e-007	504.63	
8	1.4583e-007	504.63	
9	1.6667e-007	504.62	
10	1.875e-007	504.61	
11	2.0833e-007	504.6	
12	2.2917e-007	504.59	
13	2.5e-007	504.58	
14	2.7083e-007	504.57	
15	2.9167e-007	504.55	
16	3.125e-007	504.54	
17	3.3333e-007	504.53	
18	3.5417e-007	504.51	
19	3.75e-007	504.5	
20	3.9583e-007	504.48	
21	4.1667e-007	504.46	
22	4.375e-007	504.44	
23	4.5833e-007	504.42	
24	4.7917e-007	504.4	
25	5.e-007	504.38	
26	5.2083e-007	504.36	
27	5.4167e-007	504.34	
28	5.625e-007	504.32	
29	5.8333e-007	504.3	
30	6.0417e-007	504.27	
31	6.25e-007	504.25	
32	6.4583e-007	504.23	
33	6.6667e-007	504.2	
34	6.875e-007	504.18	
35	7.0833e-007	504.15	
36	7.2917e-007	504.13	
37	7.5e-007	504.1	
38	7.7083e-007	504.07	
39	7.9167e-007	504.05	
40	8.125e-007	504.02	
41	8.3333e-007	503.99	
42	8.5417e-007	503.97	
43	8.75e-007	503.94	
44	8.9583e-007	503.91	
45	9.1667e-007	503.88	
46	9.375e-007	503.85	
47	9.5833e-007	503.83	
48	9.7917e-007	503.8	
49	1.e-006	503.77	
