	Length [m]	Value [°C]	
1	0.	689.04	
2	2.0833e-008	651.03	
3	4.1667e-008	620.01	
4	6.25e-008	595.05	
5	8.3333e-008	574.7	
6	1.0417e-007	558.87	
7	1.25e-007	546.13	
8	1.4583e-007	536.	
9	1.6667e-007	528.03	
10	1.875e-007	521.79	
11	2.0833e-007	516.93	
12	2.2917e-007	513.15	
13	2.5e-007	510.19	
14	2.7083e-007	507.85	
15	2.9167e-007	505.98	
16	3.125e-007	504.65	
17	3.3333e-007	503.59	
18	3.5417e-007	502.72	
19	3.75e-007	502.11	
20	3.9583e-007	501.61	
21	4.1667e-007	501.23	
22	4.375e-007	500.95	
23	4.5833e-007	500.71	
24	4.7917e-007	500.56	
25	5.e-007	500.41	
26	5.2083e-007	500.32	
27	5.4167e-007	500.24	
28	5.625e-007	500.19	
29	5.8333e-007	500.14	
30	6.0417e-007	500.11	
31	6.25e-007	500.08	
32	6.4583e-007	500.06	
33	6.6667e-007	500.05	
34	6.875e-007	500.04	
35	7.0833e-007	500.03	
36	7.2917e-007	500.02	
37	7.5e-007	500.02	
38	7.7083e-007	500.01	
39	7.9167e-007	500.01	
40	8.125e-007	500.01	
41	8.3333e-007	500.01	
42	8.5417e-007	500.	
43	8.75e-007	500.	
44	8.9583e-007	500.	
45	9.1667e-007	500.	
46	9.375e-007	500.	
47	9.5833e-007	500.	
48	9.7917e-007	500.	
49	1.e-006	500.	
