,Length [m],Value [°C]
1,0,512.19
2,6.25E-08,512.1
3,1.25E-07,512.02
4,1.88E-07,511.94
5,2.50E-07,511.86
6,3.13E-07,511.78
7,3.75E-07,511.7
8,4.38E-07,511.62
9,5.00E-07,511.54
10,5.63E-07,511.32
11,6.25E-07,511.1
12,6.88E-07,510.88
13,7.50E-07,510.65
14,8.13E-07,510.43
15,8.75E-07,510.21
16,9.38E-07,509.99
17,1.00E-06,509.76
18,1.06E-06,509.45
19,1.13E-06,509.14
20,1.19E-06,508.82
21,1.25E-06,508.51
22,1.31E-06,508.2
23,1.38E-06,507.88
24,1.44E-06,507.57
25,1.50E-06,507.26
26,1.56E-06,506.93
27,1.63E-06,506.6
28,1.69E-06,506.27
29,1.75E-06,505.94
30,1.81E-06,505.61
31,1.88E-06,505.28
32,1.94E-06,504.95
33,2.00E-06,504.62
34,2.06E-06,504.35
35,2.13E-06,504.08
36,2.19E-06,503.81
37,2.25E-06,503.54
38,2.31E-06,503.27
39,2.38E-06,503
40,2.44E-06,502.73
41,2.50E-06,502.46
42,2.56E-06,502.32
43,2.63E-06,502.17
44,2.69E-06,502.03
45,2.75E-06,501.89
46,2.81E-06,501.74
47,2.88E-06,501.6
48,2.94E-06,501.45
49,3.00E-06,501.31
