,Length [m],Value [°C]
1,0,517.74
2,2.08E-08,517.73
3,4.17E-08,517.7
4,6.25E-08,517.65
5,8.33E-08,517.58
6,1.04E-07,517.49
7,1.25E-07,517.39
8,1.46E-07,517.27
9,1.67E-07,517.13
10,1.88E-07,516.97
11,2.08E-07,516.8
12,2.29E-07,516.61
13,2.50E-07,516.42
14,2.71E-07,516.21
15,2.92E-07,515.99
16,3.13E-07,515.76
17,3.33E-07,515.51
18,3.54E-07,515.27
19,3.75E-07,515.01
20,3.96E-07,514.75
21,4.17E-07,514.48
22,4.38E-07,514.21
23,4.58E-07,513.93
24,4.79E-07,513.65
25,5.00E-07,513.37
26,5.21E-07,513.09
27,5.42E-07,512.8
28,5.63E-07,512.52
29,5.83E-07,512.23
30,6.04E-07,511.95
31,6.25E-07,511.66
32,6.46E-07,511.38
33,6.67E-07,511.1
34,6.88E-07,510.82
35,7.08E-07,510.54
36,7.29E-07,510.27
37,7.50E-07,510
38,7.71E-07,509.74
39,7.92E-07,509.47
40,8.13E-07,509.21
41,8.33E-07,508.96
42,8.54E-07,508.71
43,8.75E-07,508.46
44,8.96E-07,508.22
45,9.17E-07,507.98
46,9.38E-07,507.75
47,9.58E-07,507.52
48,9.79E-07,507.3
49,1.00E-06,507.08
