	Length [m]	Value [°C]	
1	0.	561.55	
2	6.25e-008	561.12	
3	1.25e-007	560.69	
4	1.875e-007	560.26	
5	2.5e-007	559.83	
6	3.125e-007	559.4	
7	3.75e-007	558.97	
8	4.375e-007	558.54	
9	5.e-007	558.1	
10	5.625e-007	556.91	
11	6.25e-007	555.72	
12	6.875e-007	554.52	
13	7.5e-007	553.33	
14	8.125e-007	552.14	
15	8.75e-007	550.94	
16	9.375e-007	549.75	
17	1.e-006	548.55	
18	1.0625e-006	546.87	
19	1.125e-006	545.19	
20	1.1875e-006	543.51	
21	1.25e-006	541.83	
22	1.3125e-006	540.15	
23	1.375e-006	538.47	
24	1.4375e-006	536.79	
25	1.5e-006	535.11	
26	1.5625e-006	533.33	
27	1.625e-006	531.56	
28	1.6875e-006	529.78	
29	1.75e-006	528.01	
30	1.8125e-006	526.23	
31	1.875e-006	524.46	
32	1.9375e-006	522.68	
33	2.e-006	520.91	
34	2.0625e-006	519.46	
35	2.125e-006	518.01	
36	2.1875e-006	516.56	
37	2.25e-006	515.12	
38	2.3125e-006	513.67	
39	2.375e-006	512.22	
40	2.4375e-006	510.77	
41	2.5e-006	509.33	
42	2.5625e-006	508.55	
43	2.625e-006	507.78	
44	2.6875e-006	507.01	
45	2.75e-006	506.23	
46	2.8125e-006	505.46	
47	2.875e-006	504.69	
48	2.9375e-006	503.92	
49	3.e-006	503.14	
