	Length [m]	Value [°C]	
1	0.	517.74	
2	2.0833e-008	517.73	
3	4.1667e-008	517.7	
4	6.25e-008	517.65	
5	8.3333e-008	517.58	
6	1.0417e-007	517.49	
7	1.25e-007	517.39	
8	1.4583e-007	517.27	
9	1.6667e-007	517.13	
10	1.875e-007	516.97	
11	2.0833e-007	516.8	
12	2.2917e-007	516.61	
13	2.5e-007	516.42	
14	2.7083e-007	516.21	
15	2.9167e-007	515.99	
16	3.125e-007	515.76	
17	3.3333e-007	515.51	
18	3.5417e-007	515.27	
19	3.75e-007	515.01	
20	3.9583e-007	514.75	
21	4.1667e-007	514.48	
22	4.375e-007	514.21	
23	4.5833e-007	513.93	
24	4.7917e-007	513.65	
25	5.e-007	513.37	
26	5.2083e-007	513.09	
27	5.4167e-007	512.8	
28	5.625e-007	512.52	
29	5.8333e-007	512.23	
30	6.0417e-007	511.95	
31	6.25e-007	511.66	
32	6.4583e-007	511.38	
33	6.6667e-007	511.1	
34	6.875e-007	510.82	
35	7.0833e-007	510.54	
36	7.2917e-007	510.27	
37	7.5e-007	510.	
38	7.7083e-007	509.74	
39	7.9167e-007	509.47	
40	8.125e-007	509.21	
41	8.3333e-007	508.96	
42	8.5417e-007	508.71	
43	8.75e-007	508.46	
44	8.9583e-007	508.22	
45	9.1667e-007	507.98	
46	9.375e-007	507.75	
47	9.5833e-007	507.52	
48	9.7917e-007	507.3	
49	1.e-006	507.08	
