	Length [m]	Value [°C]	
1	0.	44.115	
2	6.25e-008	43.985	
3	1.25e-007	43.855	
4	1.875e-007	43.724	
5	2.5e-007	43.594	
6	3.125e-007	43.464	
7	3.75e-007	43.333	
8	4.375e-007	43.203	
9	5.e-007	43.073	
10	5.625e-007	42.713	
11	6.25e-007	42.354	
12	6.875e-007	41.994	
13	7.5e-007	41.635	
14	8.125e-007	41.275	
15	8.75e-007	40.916	
16	9.375e-007	40.556	
17	1.e-006	40.197	
18	1.0625e-006	39.694	
19	1.125e-006	39.192	
20	1.1875e-006	38.689	
21	1.25e-006	38.187	
22	1.3125e-006	37.685	
23	1.375e-006	37.182	
24	1.4375e-006	36.68	
25	1.5e-006	36.177	
26	1.5625e-006	35.651	
27	1.625e-006	35.125	
28	1.6875e-006	34.599	
29	1.75e-006	34.074	
30	1.8125e-006	33.548	
31	1.875e-006	33.022	
32	1.9375e-006	32.496	
33	2.e-006	31.97	
34	2.0625e-006	31.544	
35	2.125e-006	31.118	
36	2.1875e-006	30.692	
37	2.25e-006	30.266	
38	2.3125e-006	29.84	
39	2.375e-006	29.415	
40	2.4375e-006	28.989	
41	2.5e-006	28.563	
42	2.5625e-006	28.336	
43	2.625e-006	28.109	
44	2.6875e-006	27.882	
45	2.75e-006	27.655	
46	2.8125e-006	27.427	
47	2.875e-006	27.2	
48	2.9375e-006	26.973	
49	3.e-006	26.746	
