	Length [m]	Value [°C]	
1	0.	557.07	
2	6.25e-008	556.67	
3	1.25e-007	556.27	
4	1.875e-007	555.87	
5	2.5e-007	555.47	
6	3.125e-007	555.07	
7	3.75e-007	554.67	
8	4.375e-007	554.27	
9	5.e-007	553.87	
10	5.625e-007	552.76	
11	6.25e-007	551.65	
12	6.875e-007	550.54	
13	7.5e-007	549.44	
14	8.125e-007	548.33	
15	8.75e-007	547.22	
16	9.375e-007	546.11	
17	1.e-006	545.	
18	1.0625e-006	543.44	
19	1.125e-006	541.88	
20	1.1875e-006	540.32	
21	1.25e-006	538.76	
22	1.3125e-006	537.2	
23	1.375e-006	535.64	
24	1.4375e-006	534.08	
25	1.5e-006	532.51	
26	1.5625e-006	530.86	
27	1.625e-006	529.21	
28	1.6875e-006	527.56	
29	1.75e-006	525.91	
30	1.8125e-006	524.26	
31	1.875e-006	522.61	
32	1.9375e-006	520.96	
33	2.e-006	519.31	
34	2.0625e-006	517.97	
35	2.125e-006	516.62	
36	2.1875e-006	515.27	
37	2.25e-006	513.93	
38	2.3125e-006	512.58	
39	2.375e-006	511.24	
40	2.4375e-006	509.89	
41	2.5e-006	508.54	
42	2.5625e-006	507.82	
43	2.625e-006	507.1	
44	2.6875e-006	506.39	
45	2.75e-006	505.67	
46	2.8125e-006	504.95	
47	2.875e-006	504.23	
48	2.9375e-006	503.51	
49	3.e-006	502.79	
