,Length [m],Value [°C]
1,0,507.13
2,2.08E-08,507.13
3,4.17E-08,507.13
4,6.25E-08,507.12
5,8.33E-08,507.1
6,1.04E-07,507.09
7,1.25E-07,507.06
8,1.46E-07,507.04
9,1.67E-07,507.01
10,1.88E-07,506.97
11,2.08E-07,506.94
12,2.29E-07,506.89
13,2.50E-07,506.85
14,2.71E-07,506.8
15,2.92E-07,506.75
16,3.13E-07,506.7
17,3.33E-07,506.64
18,3.54E-07,506.58
19,3.75E-07,506.52
20,3.96E-07,506.45
21,4.17E-07,506.39
22,4.38E-07,506.32
23,4.58E-07,506.25
24,4.79E-07,506.18
25,5.00E-07,506.11
26,5.21E-07,506.03
27,5.42E-07,505.96
28,5.63E-07,505.89
29,5.83E-07,505.81
30,6.04E-07,505.73
31,6.25E-07,505.65
32,6.46E-07,505.58
33,6.67E-07,505.5
34,6.88E-07,505.42
35,7.08E-07,505.34
36,7.29E-07,505.26
37,7.50E-07,505.18
38,7.71E-07,505.11
39,7.92E-07,505.03
40,8.13E-07,504.95
41,8.33E-07,504.87
42,8.54E-07,504.8
43,8.75E-07,504.72
44,8.96E-07,504.64
45,9.17E-07,504.57
46,9.38E-07,504.49
47,9.58E-07,504.42
48,9.79E-07,504.35
49,1.00E-06,504.27
