	Length [m]	Value [°C]	
1	0.	40.216	
2	6.25e-008	40.113	
3	1.25e-007	40.011	
4	1.875e-007	39.908	
5	2.5e-007	39.805	
6	3.125e-007	39.703	
7	3.75e-007	39.6	
8	4.375e-007	39.497	
9	5.e-007	39.395	
10	5.625e-007	39.11	
11	6.25e-007	38.826	
12	6.875e-007	38.542	
13	7.5e-007	38.258	
14	8.125e-007	37.974	
15	8.75e-007	37.69	
16	9.375e-007	37.406	
17	1.e-006	37.121	
18	1.0625e-006	36.722	
19	1.125e-006	36.323	
20	1.1875e-006	35.924	
21	1.25e-006	35.524	
22	1.3125e-006	35.125	
23	1.375e-006	34.726	
24	1.4375e-006	34.326	
25	1.5e-006	33.927	
26	1.5625e-006	33.507	
27	1.625e-006	33.086	
28	1.6875e-006	32.665	
29	1.75e-006	32.245	
30	1.8125e-006	31.824	
31	1.875e-006	31.403	
32	1.9375e-006	30.983	
33	2.e-006	30.562	
34	2.0625e-006	30.219	
35	2.125e-006	29.877	
36	2.1875e-006	29.534	
37	2.25e-006	29.191	
38	2.3125e-006	28.849	
39	2.375e-006	28.506	
40	2.4375e-006	28.163	
41	2.5e-006	27.82	
42	2.5625e-006	27.637	
43	2.625e-006	27.454	
44	2.6875e-006	27.27	
45	2.75e-006	27.087	
46	2.8125e-006	26.903	
47	2.875e-006	26.72	
48	2.9375e-006	26.536	
49	3.e-006	26.353	
