,Length [m],Value [°C]
1,0,548.76
2,6.25E-08,548.42
3,1.25E-07,548.07
4,1.88E-07,547.73
5,2.50E-07,547.39
6,3.13E-07,547.05
7,3.75E-07,546.71
8,4.38E-07,546.37
9,5.00E-07,546.03
10,5.63E-07,545.09
11,6.25E-07,544.14
12,6.88E-07,543.2
13,7.50E-07,542.25
14,8.13E-07,541.31
15,8.75E-07,540.36
16,9.38E-07,539.42
17,1.00E-06,538.47
18,1.06E-06,537.14
19,1.13E-06,535.81
20,1.19E-06,534.48
21,1.25E-06,533.15
22,1.31E-06,531.82
23,1.38E-06,530.49
24,1.44E-06,529.15
25,1.50E-06,527.82
26,1.56E-06,526.41
27,1.63E-06,525.01
28,1.69E-06,523.6
29,1.75E-06,522.19
30,1.81E-06,520.78
31,1.88E-06,519.37
32,1.94E-06,517.96
33,2.00E-06,516.56
34,2.06E-06,515.41
35,2.13E-06,514.26
36,2.19E-06,513.11
37,2.25E-06,511.96
38,2.31E-06,510.81
39,2.38E-06,509.66
40,2.44E-06,508.5
41,2.50E-06,507.35
42,2.56E-06,506.74
43,2.63E-06,506.13
44,2.69E-06,505.51
45,2.75E-06,504.9
46,2.81E-06,504.28
47,2.88E-06,503.67
48,2.94E-06,503.05
49,3.00E-06,502.44
