	Length [m]	Value [°C]	
1	0.	502.03	
2	6.25e-008	502.01	
3	1.25e-007	502.	
4	1.875e-007	501.99	
5	2.5e-007	501.97	
6	3.125e-007	501.96	
7	3.75e-007	501.95	
8	4.375e-007	501.93	
9	5.e-007	501.92	
10	5.625e-007	501.88	
11	6.25e-007	501.85	
12	6.875e-007	501.81	
13	7.5e-007	501.77	
14	8.125e-007	501.73	
15	8.75e-007	501.7	
16	9.375e-007	501.66	
17	1.e-006	501.62	
18	1.0625e-006	501.57	
19	1.125e-006	501.52	
20	1.1875e-006	501.47	
21	1.25e-006	501.41	
22	1.3125e-006	501.36	
23	1.375e-006	501.31	
24	1.4375e-006	501.26	
25	1.5e-006	501.2	
26	1.5625e-006	501.15	
27	1.625e-006	501.09	
28	1.6875e-006	501.04	
29	1.75e-006	500.98	
30	1.8125e-006	500.93	
31	1.875e-006	500.87	
32	1.9375e-006	500.81	
33	2.e-006	500.76	
34	2.0625e-006	500.71	
35	2.125e-006	500.67	
36	2.1875e-006	500.62	
37	2.25e-006	500.58	
38	2.3125e-006	500.53	
39	2.375e-006	500.49	
40	2.4375e-006	500.44	
41	2.5e-006	500.39	
42	2.5625e-006	500.37	
43	2.625e-006	500.35	
44	2.6875e-006	500.32	
45	2.75e-006	500.3	
46	2.8125e-006	500.27	
47	2.875e-006	500.25	
48	2.9375e-006	500.22	
49	3.e-006	500.2	
