,Length [m],Value [°C]
1,0,44.115
2,6.25E-08,43.985
3,1.25E-07,43.855
4,1.88E-07,43.724
5,2.50E-07,43.594
6,3.13E-07,43.464
7,3.75E-07,43.333
8,4.38E-07,43.203
9,5.00E-07,43.073
10,5.63E-07,42.713
11,6.25E-07,42.354
12,6.88E-07,41.994
13,7.50E-07,41.635
14,8.13E-07,41.275
15,8.75E-07,40.916
16,9.38E-07,40.556
17,1.00E-06,40.197
18,1.06E-06,39.694
19,1.13E-06,39.192
20,1.19E-06,38.689
21,1.25E-06,38.187
22,1.31E-06,37.685
23,1.38E-06,37.182
24,1.44E-06,36.68
25,1.50E-06,36.177
26,1.56E-06,35.651
27,1.63E-06,35.125
28,1.69E-06,34.599
29,1.75E-06,34.074
30,1.81E-06,33.548
31,1.88E-06,33.022
32,1.94E-06,32.496
33,2.00E-06,31.97
34,2.06E-06,31.544
35,2.13E-06,31.118
36,2.19E-06,30.692
37,2.25E-06,30.266
38,2.31E-06,29.84
39,2.38E-06,29.415
40,2.44E-06,28.989
41,2.50E-06,28.563
42,2.56E-06,28.336
43,2.63E-06,28.109
44,2.69E-06,27.882
45,2.75E-06,27.655
46,2.81E-06,27.427
47,2.88E-06,27.2
48,2.94E-06,26.973
49,3.00E-06,26.746
