	Length [m]	Value [°C]	
1	0.	530.36	
2	6.25e-008	530.15	
3	1.25e-007	529.94	
4	1.875e-007	529.73	
5	2.5e-007	529.52	
6	3.125e-007	529.31	
7	3.75e-007	529.1	
8	4.375e-007	528.89	
9	5.e-007	528.68	
10	5.625e-007	528.09	
11	6.25e-007	527.51	
12	6.875e-007	526.93	
13	7.5e-007	526.35	
14	8.125e-007	525.76	
15	8.75e-007	525.18	
16	9.375e-007	524.6	
17	1.e-006	524.01	
18	1.0625e-006	523.19	
19	1.125e-006	522.37	
20	1.1875e-006	521.55	
21	1.25e-006	520.73	
22	1.3125e-006	519.9	
23	1.375e-006	519.08	
24	1.4375e-006	518.26	
25	1.5e-006	517.44	
26	1.5625e-006	516.57	
27	1.625e-006	515.69	
28	1.6875e-006	514.82	
29	1.75e-006	513.95	
30	1.8125e-006	513.08	
31	1.875e-006	512.21	
32	1.9375e-006	511.34	
33	2.e-006	510.47	
34	2.0625e-006	509.76	
35	2.125e-006	509.05	
36	2.1875e-006	508.33	
37	2.25e-006	507.62	
38	2.3125e-006	506.91	
39	2.375e-006	506.2	
40	2.4375e-006	505.49	
41	2.5e-006	504.77	
42	2.5625e-006	504.39	
43	2.625e-006	504.01	
44	2.6875e-006	503.63	
45	2.75e-006	503.25	
46	2.8125e-006	502.87	
47	2.875e-006	502.49	
48	2.9375e-006	502.11	
49	3.e-006	501.73	
