	Length [m]	Value [°C]	
1	0.	504.23	
2	6.25e-008	504.2	
3	1.25e-007	504.17	
4	1.875e-007	504.14	
5	2.5e-007	504.12	
6	3.125e-007	504.09	
7	3.75e-007	504.06	
8	4.375e-007	504.03	
9	5.e-007	504.	
10	5.625e-007	503.92	
11	6.25e-007	503.85	
12	6.875e-007	503.77	
13	7.5e-007	503.69	
14	8.125e-007	503.61	
15	8.75e-007	503.53	
16	9.375e-007	503.45	
17	1.e-006	503.37	
18	1.0625e-006	503.26	
19	1.125e-006	503.15	
20	1.1875e-006	503.04	
21	1.25e-006	502.93	
22	1.3125e-006	502.82	
23	1.375e-006	502.71	
24	1.4375e-006	502.6	
25	1.5e-006	502.49	
26	1.5625e-006	502.37	
27	1.625e-006	502.25	
28	1.6875e-006	502.14	
29	1.75e-006	502.02	
30	1.8125e-006	501.9	
31	1.875e-006	501.78	
32	1.9375e-006	501.67	
33	2.e-006	501.55	
34	2.0625e-006	501.45	
35	2.125e-006	501.36	
36	2.1875e-006	501.26	
37	2.25e-006	501.17	
38	2.3125e-006	501.07	
39	2.375e-006	500.97	
40	2.4375e-006	500.88	
41	2.5e-006	500.78	
42	2.5625e-006	500.73	
43	2.625e-006	500.68	
44	2.6875e-006	500.63	
45	2.75e-006	500.58	
46	2.8125e-006	500.52	
47	2.875e-006	500.47	
48	2.9375e-006	500.42	
49	3.e-006	500.37	
