	Length [m]	Value [°C]	
1	0.	512.19	
2	6.25e-008	512.1	
3	1.25e-007	512.02	
4	1.875e-007	511.94	
5	2.5e-007	511.86	
6	3.125e-007	511.78	
7	3.75e-007	511.7	
8	4.375e-007	511.62	
9	5.e-007	511.54	
10	5.625e-007	511.32	
11	6.25e-007	511.1	
12	6.875e-007	510.88	
13	7.5e-007	510.65	
14	8.125e-007	510.43	
15	8.75e-007	510.21	
16	9.375e-007	509.99	
17	1.e-006	509.76	
18	1.0625e-006	509.45	
19	1.125e-006	509.14	
20	1.1875e-006	508.82	
21	1.25e-006	508.51	
22	1.3125e-006	508.2	
23	1.375e-006	507.88	
24	1.4375e-006	507.57	
25	1.5e-006	507.26	
26	1.5625e-006	506.93	
27	1.625e-006	506.6	
28	1.6875e-006	506.27	
29	1.75e-006	505.94	
30	1.8125e-006	505.61	
31	1.875e-006	505.28	
32	1.9375e-006	504.95	
33	2.e-006	504.62	
34	2.0625e-006	504.35	
35	2.125e-006	504.08	
36	2.1875e-006	503.81	
37	2.25e-006	503.54	
38	2.3125e-006	503.27	
39	2.375e-006	503.	
40	2.4375e-006	502.73	
41	2.5e-006	502.46	
42	2.5625e-006	502.32	
43	2.625e-006	502.17	
44	2.6875e-006	502.03	
45	2.75e-006	501.89	
46	2.8125e-006	501.74	
47	2.875e-006	501.6	
48	2.9375e-006	501.45	
49	3.e-006	501.31	
