,Length [m],Value [°C]
1,0,530.36
2,6.25E-08,530.15
3,1.25E-07,529.94
4,1.88E-07,529.73
5,2.50E-07,529.52
6,3.13E-07,529.31
7,3.75E-07,529.1
8,4.38E-07,528.89
9,5.00E-07,528.68
10,5.63E-07,528.09
11,6.25E-07,527.51
12,6.88E-07,526.93
13,7.50E-07,526.35
14,8.13E-07,525.76
15,8.75E-07,525.18
16,9.38E-07,524.6
17,1.00E-06,524.01
18,1.06E-06,523.19
19,1.13E-06,522.37
20,1.19E-06,521.55
21,1.25E-06,520.73
22,1.31E-06,519.9
23,1.38E-06,519.08
24,1.44E-06,518.26
25,1.50E-06,517.44
26,1.56E-06,516.57
27,1.63E-06,515.69
28,1.69E-06,514.82
29,1.75E-06,513.95
30,1.81E-06,513.08
31,1.88E-06,512.21
32,1.94E-06,511.34
33,2.00E-06,510.47
34,2.06E-06,509.76
35,2.13E-06,509.05
36,2.19E-06,508.33
37,2.25E-06,507.62
38,2.31E-06,506.91
39,2.38E-06,506.2
40,2.44E-06,505.49
41,2.50E-06,504.77
42,2.56E-06,504.39
43,2.63E-06,504.01
44,2.69E-06,503.63
45,2.75E-06,503.25
46,2.81E-06,502.87
47,2.88E-06,502.49
48,2.94E-06,502.11
49,3.00E-06,501.73
