,Length [m],Value [°C]
1,0,40.216
2,6.25E-08,40.113
3,1.25E-07,40.011
4,1.88E-07,39.908
5,2.50E-07,39.805
6,3.13E-07,39.703
7,3.75E-07,39.6
8,4.38E-07,39.497
9,5.00E-07,39.395
10,5.63E-07,39.11
11,6.25E-07,38.826
12,6.88E-07,38.542
13,7.50E-07,38.258
14,8.13E-07,37.974
15,8.75E-07,37.69
16,9.38E-07,37.406
17,1.00E-06,37.121
18,1.06E-06,36.722
19,1.13E-06,36.323
20,1.19E-06,35.924
21,1.25E-06,35.524
22,1.31E-06,35.125
23,1.38E-06,34.726
24,1.44E-06,34.326
25,1.50E-06,33.927
26,1.56E-06,33.507
27,1.63E-06,33.086
28,1.69E-06,32.665
29,1.75E-06,32.245
30,1.81E-06,31.824
31,1.88E-06,31.403
32,1.94E-06,30.983
33,2.00E-06,30.562
34,2.06E-06,30.219
35,2.13E-06,29.877
36,2.19E-06,29.534
37,2.25E-06,29.191
38,2.31E-06,28.849
39,2.38E-06,28.506
40,2.44E-06,28.163
41,2.50E-06,27.82
42,2.56E-06,27.637
43,2.63E-06,27.454
44,2.69E-06,27.27
45,2.75E-06,27.087
46,2.81E-06,26.903
47,2.88E-06,26.72
48,2.94E-06,26.536
49,3.00E-06,26.353
