,Length [m],Value [°C]
1,0,518.45
2,6.25E-08,518.32
3,1.25E-07,518.2
4,1.88E-07,518.07
5,2.50E-07,517.95
6,3.13E-07,517.83
7,3.75E-07,517.7
8,4.38E-07,517.58
9,5.00E-07,517.45
10,5.63E-07,517.11
11,6.25E-07,516.76
12,6.88E-07,516.42
13,7.50E-07,516.07
14,8.13E-07,515.73
15,8.75E-07,515.38
16,9.38E-07,515.04
17,1.00E-06,514.69
18,1.06E-06,514.21
19,1.13E-06,513.73
20,1.19E-06,513.24
21,1.25E-06,512.76
22,1.31E-06,512.28
23,1.38E-06,511.79
24,1.44E-06,511.31
25,1.50E-06,510.83
26,1.56E-06,510.32
27,1.63E-06,509.81
28,1.69E-06,509.3
29,1.75E-06,508.79
30,1.81E-06,508.28
31,1.88E-06,507.78
32,1.94E-06,507.27
33,2.00E-06,506.76
34,2.06E-06,506.35
35,2.13E-06,505.93
36,2.19E-06,505.52
37,2.25E-06,505.11
38,2.31E-06,504.7
39,2.38E-06,504.28
40,2.44E-06,503.87
41,2.50E-06,503.46
42,2.56E-06,503.24
43,2.63E-06,503.02
44,2.69E-06,502.8
45,2.75E-06,502.58
46,2.81E-06,502.36
47,2.88E-06,502.14
48,2.94E-06,501.92
49,3.00E-06,501.7
