,Length [m],Value [°C]
1,0,525.29
2,2.08E-08,525.28
3,4.17E-08,525.18
4,6.25E-08,525
5,8.33E-08,524.75
6,1.04E-07,524.42
7,1.25E-07,524.03
8,1.46E-07,523.58
9,1.67E-07,523.09
10,1.88E-07,522.54
11,2.08E-07,521.96
12,2.29E-07,521.34
13,2.50E-07,520.7
14,2.71E-07,520.05
15,2.92E-07,519.38
16,3.13E-07,518.69
17,3.33E-07,518.01
18,3.54E-07,517.32
19,3.75E-07,516.64
20,3.96E-07,515.97
21,4.17E-07,515.3
22,4.38E-07,514.64
23,4.58E-07,513.99
24,4.79E-07,513.37
25,5.00E-07,512.75
26,5.21E-07,512.16
27,5.42E-07,511.58
28,5.63E-07,511.02
29,5.83E-07,510.48
30,6.04E-07,509.96
31,6.25E-07,509.46
32,6.46E-07,508.97
33,6.67E-07,508.52
34,6.88E-07,508.07
35,7.08E-07,507.64
36,7.29E-07,507.24
37,7.50E-07,506.84
38,7.71E-07,506.48
39,7.92E-07,506.13
40,8.13E-07,505.78
41,8.33E-07,505.46
42,8.54E-07,505.17
43,8.75E-07,504.87
44,8.96E-07,504.59
45,9.17E-07,504.34
46,9.38E-07,504.09
47,9.58E-07,503.84
48,9.79E-07,503.63
49,1.00E-06,503.42
