	Length [m]	Value [°C]	
1	0.	41.807	
2	6.25e-008	41.693	
3	1.25e-007	41.579	
4	1.875e-007	41.465	
5	2.5e-007	41.352	
6	3.125e-007	41.238	
7	3.75e-007	41.124	
8	4.375e-007	41.01	
9	5.e-007	40.897	
10	5.625e-007	40.582	
11	6.25e-007	40.268	
12	6.875e-007	39.953	
13	7.5e-007	39.639	
14	8.125e-007	39.325	
15	8.75e-007	39.01	
16	9.375e-007	38.696	
17	1.e-006	38.381	
18	1.0625e-006	37.94	
19	1.125e-006	37.499	
20	1.1875e-006	37.059	
21	1.25e-006	36.618	
22	1.3125e-006	36.177	
23	1.375e-006	35.736	
24	1.4375e-006	35.295	
25	1.5e-006	34.854	
26	1.5625e-006	34.39	
27	1.625e-006	33.927	
28	1.6875e-006	33.464	
29	1.75e-006	33.	
30	1.8125e-006	32.537	
31	1.875e-006	32.074	
32	1.9375e-006	31.61	
33	2.e-006	31.147	
34	2.0625e-006	30.77	
35	2.125e-006	30.393	
36	2.1875e-006	30.017	
37	2.25e-006	29.64	
38	2.3125e-006	29.263	
39	2.375e-006	28.886	
40	2.4375e-006	28.51	
41	2.5e-006	28.133	
42	2.5625e-006	27.932	
43	2.625e-006	27.73	
44	2.6875e-006	27.529	
45	2.75e-006	27.328	
46	2.8125e-006	27.126	
47	2.875e-006	26.925	
48	2.9375e-006	26.724	
49	3.e-006	26.522	
