	Length [m]	Value [°C]	
1	0.	524.92	
2	6.25e-008	524.75	
3	1.25e-007	524.58	
4	1.875e-007	524.4	
5	2.5e-007	524.23	
6	3.125e-007	524.06	
7	3.75e-007	523.89	
8	4.375e-007	523.72	
9	5.e-007	523.54	
10	5.625e-007	523.07	
11	6.25e-007	522.59	
12	6.875e-007	522.12	
13	7.5e-007	521.64	
14	8.125e-007	521.17	
15	8.75e-007	520.69	
16	9.375e-007	520.22	
17	1.e-006	519.74	
18	1.0625e-006	519.08	
19	1.125e-006	518.41	
20	1.1875e-006	517.75	
21	1.25e-006	517.09	
22	1.3125e-006	516.42	
23	1.375e-006	515.76	
24	1.4375e-006	515.09	
25	1.5e-006	514.43	
26	1.5625e-006	513.74	
27	1.625e-006	513.04	
28	1.6875e-006	512.35	
29	1.75e-006	511.66	
30	1.8125e-006	510.96	
31	1.875e-006	510.27	
32	1.9375e-006	509.57	
33	2.e-006	508.88	
34	2.0625e-006	508.32	
35	2.125e-006	507.76	
36	2.1875e-006	507.2	
37	2.25e-006	506.63	
38	2.3125e-006	506.07	
39	2.375e-006	505.51	
40	2.4375e-006	504.95	
41	2.5e-006	504.39	
42	2.5625e-006	504.09	
43	2.625e-006	503.8	
44	2.6875e-006	503.5	
45	2.75e-006	503.2	
46	2.8125e-006	502.9	
47	2.875e-006	502.6	
48	2.9375e-006	502.31	
49	3.e-006	502.01	
