,Length [m],Value [°C]
1,0,521.62
2,6.25E-08,521.47
3,1.25E-07,521.32
4,1.88E-07,521.17
5,2.50E-07,521.03
6,3.13E-07,520.88
7,3.75E-07,520.73
8,4.38E-07,520.58
9,5.00E-07,520.43
10,5.63E-07,520.03
11,6.25E-07,519.62
12,6.88E-07,519.21
13,7.50E-07,518.8
14,8.13E-07,518.39
15,8.75E-07,517.99
16,9.38E-07,517.58
17,1.00E-06,517.17
18,1.06E-06,516.6
19,1.13E-06,516.03
20,1.19E-06,515.46
21,1.25E-06,514.88
22,1.31E-06,514.31
23,1.38E-06,513.74
24,1.44E-06,513.17
25,1.50E-06,512.6
26,1.56E-06,512
27,1.63E-06,511.4
28,1.69E-06,510.8
29,1.75E-06,510.2
30,1.81E-06,509.6
31,1.88E-06,509
32,1.94E-06,508.41
33,2.00E-06,507.81
34,2.06E-06,507.32
35,2.13E-06,506.83
36,2.19E-06,506.35
37,2.25E-06,505.86
38,2.31E-06,505.38
39,2.38E-06,504.89
40,2.44E-06,504.41
41,2.50E-06,503.92
42,2.56E-06,503.66
43,2.63E-06,503.4
44,2.69E-06,503.15
45,2.75E-06,502.89
46,2.81E-06,502.63
47,2.88E-06,502.37
48,2.94E-06,502.11
49,3.00E-06,501.85
