,Length [m],Value [°C]
1,0,44.403
2,6.25E-08,44.271
3,1.25E-07,44.139
4,1.88E-07,44.006
5,2.50E-07,43.874
6,3.13E-07,43.741
7,3.75E-07,43.609
8,4.38E-07,43.477
9,5.00E-07,43.344
10,5.63E-07,42.979
11,6.25E-07,42.614
12,6.88E-07,42.249
13,7.50E-07,41.884
14,8.13E-07,41.518
15,8.75E-07,41.153
16,9.38E-07,40.788
17,1.00E-06,40.423
18,1.06E-06,39.913
19,1.13E-06,39.403
20,1.19E-06,38.892
21,1.25E-06,38.382
22,1.31E-06,37.872
23,1.38E-06,37.362
24,1.44E-06,36.852
25,1.50E-06,36.342
26,1.56E-06,35.808
27,1.63E-06,35.274
28,1.69E-06,34.741
29,1.75E-06,34.207
30,1.81E-06,33.673
31,1.88E-06,33.14
32,1.94E-06,32.606
33,2.00E-06,32.072
34,2.06E-06,31.64
35,2.13E-06,31.208
36,2.19E-06,30.776
37,2.25E-06,30.344
38,2.31E-06,29.912
39,2.38E-06,29.48
40,2.44E-06,29.048
41,2.50E-06,28.616
42,2.56E-06,28.386
43,2.63E-06,28.156
44,2.69E-06,27.926
45,2.75E-06,27.695
46,2.81E-06,27.465
47,2.88E-06,27.235
48,2.94E-06,27.005
49,3.00E-06,26.775
