	Length [m]	Value [°C]	
1	0.	43.155	
2	6.25e-008	43.032	
3	1.25e-007	42.908	
4	1.875e-007	42.785	
5	2.5e-007	42.662	
6	3.125e-007	42.538	
7	3.75e-007	42.415	
8	4.375e-007	42.292	
9	5.e-007	42.168	
10	5.625e-007	41.828	
11	6.25e-007	41.487	
12	6.875e-007	41.146	
13	7.5e-007	40.806	
14	8.125e-007	40.465	
15	8.75e-007	40.125	
16	9.375e-007	39.784	
17	1.e-006	39.443	
18	1.0625e-006	38.967	
19	1.125e-006	38.49	
20	1.1875e-006	38.013	
21	1.25e-006	37.536	
22	1.3125e-006	37.06	
23	1.375e-006	36.583	
24	1.4375e-006	36.106	
25	1.5e-006	35.629	
26	1.5625e-006	35.129	
27	1.625e-006	34.63	
28	1.6875e-006	34.13	
29	1.75e-006	33.63	
30	1.8125e-006	33.13	
31	1.875e-006	32.63	
32	1.9375e-006	32.13	
33	2.e-006	31.631	
34	2.0625e-006	31.225	
35	2.125e-006	30.82	
36	2.1875e-006	30.414	
37	2.25e-006	30.009	
38	2.3125e-006	29.603	
39	2.375e-006	29.198	
40	2.4375e-006	28.792	
41	2.5e-006	28.387	
42	2.5625e-006	28.17	
43	2.625e-006	27.954	
44	2.6875e-006	27.737	
45	2.75e-006	27.521	
46	2.8125e-006	27.305	
47	2.875e-006	27.088	
48	2.9375e-006	26.872	
49	3.e-006	26.655	
